Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,162,450,481,640,720,838,1091,1301
  └─ Sales Growth %,,176.96%,6.95%,32.92%,12.59%,16.32%,30.23%,19.32%
Expenses,97,291,269,352,422,473,612,773
  └─ Manufacturing Cost %,2.18%,3.12%,3.41%,1.88%,1.72%,5.55%,6.45%,0.00%
  └─ Employee Cost %,40.16%,43.12%,39.20%,36.35%,40.20%,38.17%,36.97%,40.34%
  └─ Other Cost %,17.21%,18.49%,13.23%,16.74%,16.66%,12.79%,12.65%,19.02%
Operating Profit,66,159,212,288,298,364,479,529
OPM %,40%,35%,44%,45%,41%,43%,44%,41%
Other Income,2,5,5,6,17,25,38,30
  └─ Exceptional items,-0.01,0.13,0.10,0.14,-0.10,0.01,19.46,-12.59
  └─ Other income normal,2.33,5.26,4.95,5.92,17.49,24.64,18.26,42.43
Interest,20,53,52,53,11,9,5,5
Depreciation,34,92,98,37,47,53,64,86
Profit before tax,14,19,68,204,258,327,448,468
Tax %,35%,76%,196%,27%,24%,25%,26%,27%
Net Profit,9,5,-65,149,196,246,333,344
  └─ Exceptional items AT,0,0,-0,0,-0,0,14,-9
  └─ Profit excl Excep,9,4,-64,148,196,246,318,353
  └─ Profit for PE,9,4,-64,148,196,246,318,353
  └─ Profit for EPS,9,5,-65,149,196,246,333,344
  └─ Profit Growth %,,-50%,-1535%,330%,32%,26%,29%,11%
EPS in Rs,0.54,0.30,-4.28,8.87,11.57,14.39,19.33,19.92
Dividend Payout %,0%,0%,0%,0%,0%,40%,39%,60%
