Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,1473,1357,1814,1239,1413,1545,1959,2272,2692,4041
  └─ Sales Growth %,,-8%,34%,-32%,14%,9%,27%,16%,18%,50%
Expenses,1365,1300,1868,1227,1224,1362,1730,1986,2379,3571
  └─ Material Cost %,64%,63%,70%,69%,68%,69%,70%,68%,69%,69%
    └─ Raw material cost,964,866,1262,841,982,1061,1384,1581,1856,2837
    └─ Change in inventory,-25,-12,7,18,-18,8,-11,-26,5,-43
  └─ Manufacturing Cost %,4%,3%,3%,3%,3%,2%,2%,2%,3%,0%
  └─ Employee Cost %,16%,13%,14%,13%,12%,12%,12%,12%,12%,12%
  └─ Other Cost %,9%,17%,16%,14%,4%,4%,4%,5%,5%,8%
Operating Profit,108,56,-54,13,189,183,229,285,313,469
OPM %,7%,4%,-3%,1%,13%,12%,12%,13%,12%,12%
Other Income,10,5,13,15,22,7,14,1,17,12
  └─ Exceptional items,1.43,0.32,0.44,0.53,-11.35,-1.95,10.04,-6.85,4.60,0.00
  └─ Other income normal,8.38,5.01,12.09,14.33,33.51,8.82,4.19,7.68,12.04,11.57
Interest,19,14,38,34,43,27,18,18,13,30
Depreciation,73,74,94,96,94,82,78,82,90,120
Profit before tax,26,-26,-173,-102,74,80,147,186,227,331
Tax %,65%,85%,1%,-3%,44%,36%,15%,24%,26%,24%
Net Profit,9,-49,-174,-99,42,51,125,141,167,251
  └─ Exceptional items AT,-0,0,0,1,-5,-1,8,-5,3,0
  └─ Profit excl Excep,9,-49,-174,-99,47,52,117,146,164,251
  └─ Profit for PE,9,-49,-174,-99,47,52,117,146,164,251
  └─ Profit for EPS,9,-49,-174,-99,42,51,125,141,167,251
  └─ Profit Growth %,,-621%,-254%,43%,147%,12%,124%,24%,12%,53%
EPS in Rs,0.76,-4.02,-14.26,-8.10,3.40,4.19,10.23,11.54,13.70,20.58
Dividend Payout %,103%,-19%,0%,0%,0%,0%,0%,0%,0%,0%
