Metric,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2025,Mar 2026
Sales,83,155,179,216,262,345,386,439,460,561,640
  └─ Sales Growth %,,86.30%,15.93%,20.40%,21.30%,31.62%,11.84%,13.98%,4.58%,,14.07%
Expenses,68,133,151,184,223,298,340,393,411,500,566
  └─ Material Cost %,52%,60%,58%,60%,56%,58%,59%,66%,67%,61%,60%
    └─ Raw material cost,44,94,107,131,149,207,229,285,310,344,386
    └─ Change in inventory,-1,-2,-2,-0,-3,-6,-1,6,-2,-1,-3
  └─ Manufacturing Cost %,15%,12%,12%,12%,17%,17%,17%,12%,12%,16%,0%
  └─ Employee Cost %,9%,7%,7%,6%,6%,6%,6%,6%,5%,8%,8%
  └─ Other Cost %,5%,7%,7%,7%,6%,6%,6%,6%,5%,4%,20%
Operating Profit,15,22,28,32,39,46,45,46,49,62,75
OPM %,18%,14%,16%,15%,15%,13%,12%,11%,11%,11%,12%
Other Income,0,2,1,2,2,1,2,2,0,3,3
  └─ Exceptional items,0.03,0.00,-0.05,0.05,0.28,0.26,0.34,0.03,-0.11,1.41,-1.35
  └─ Other income normal,0.46,2.47,1.39,2.33,2.19,0.90,1.27,2.02,0.47,1.30,4.27
Interest,3,6,8,10,9,12,18,18,17,16,19
Depreciation,5,9,9,9,9,13,15,17,18,36,40
Profit before tax,7,10,13,15,24,22,14,13,13,12,19
Tax %,31%,21%,17%,27%,33%,28%,25%,18%,40%,24%,21%
Net Profit,5,8,11,11,16,16,10,10,8,9,15
  └─ Minority share,0,-0,-1,-1,-1,-2,0,-1,-2,0,0
  └─ Exceptional items AT,0,0,-0,0,0,0,0,0,-0,1,-1
  └─ Profit excl Excep,5,8,11,11,16,16,10,10,8,8,16
  └─ Profit for PE,5,7,10,10,15,14,10,9,6,8,16
  └─ Profit for EPS,5,7,10,10,15,14,11,9,6,9,15
  └─ Profit Growth %,,47%,30%,6%,45%,-3%,-27%,-13%,-29%,,104%
EPS in Rs,,5.58,7.23,7.73,11.34,10.94,8.08,6.86,4.82,5.21,8.84
Dividend Payout %,21%,14%,14%,14%,13%,15%,20%,23%,19%,19%,11%
