Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,0,684,4949,4773,4136,4178,4388
  └─ Sales Growth %,,,623.45%,-3.57%,-13.34%,1.01%,5.04%
Expenses,0,567,4108,4224,3708,3658,3821
  └─ Material Cost %,,54%,56%,54%,52%,50%,52%
    └─ Raw material cost,0,379,2939,2709,2089,2107,2254
    └─ Change in inventory,0,-10,-145,-128,53,0,41
  └─ Manufacturing Cost %,,16%,15%,21%,19%,17%,10%
  └─ Employee Cost %,,7%,7%,7%,9%,10%,10%
  └─ Other Cost %,,6%,5%,6%,9%,10%,16%
Operating Profit,-0,117,841,549,427,519,567
OPM %,,17%,17%,11%,10%,12%,13%
Other Income,0,-10,22,32,29,38,27
  └─ Exceptional items,0.00,-12.94,-9.48,-1.42,-6.35,-0.26,-13.04
  └─ Other income normal,0.00,2.60,31.49,33.37,35.32,37.82,40.53
Interest,0,7,31,22,53,56,49
Depreciation,0,22,123,122,136,158,175
Profit before tax,-0,77,709,437,268,344,370
Tax %,0%,30%,33%,30%,32%,27%,25%
Net Profit,-0,54,477,308,183,251,278
  └─ Exceptional items AT,0,-9,-6,-1,-4,-0,-10
  └─ Profit excl Excep,-0,63,483,308,187,251,288
  └─ Profit for PE,-0,63,483,308,187,251,288
  └─ Profit for EPS,-0,54,477,308,183,251,278
  └─ Profit Growth %,,37424%,661%,-36%,-39%,34%,14%
EPS in Rs,-3.40,3.41,29.93,19.31,11.48,15.77,17.45
Dividend Payout %,0%,10%,17%,26%,43%,31%,14%
