Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,13952,15358,14391,15373,16556,17129,18556,23521,35244,29413,31609,38534
  └─ Sales Growth %,15.17%,10.07%,-6.29%,6.82%,7.69%,3.46%,8.33%,26.76%,49.84%,-16.54%,7.46%,21.91%
Expenses,12938,14517,12965,14068,15105,15242,16467,21146,32088,26825,28975,35085
  └─ Material Cost %,75%,77%,71%,73%,72%,71%,71%,75%,79%,77%,77%,77%
    └─ Raw material cost,11055,11493,9955,11610,13003,11682,12641,17769,28882,23207,23672,31025
    └─ Change in inventory,-593,327,304,-440,-1045,478,594,-148,-971,-560,608,-1447
  └─ Manufacturing Cost %,4%,4%,4%,4%,4%,4%,4%,4%,3%,3%,3%,0%
  └─ Employee Cost %,3%,3%,3%,3%,4%,4%,4%,3%,2%,3%,3%,3%
  └─ Other Cost %,11%,11%,11%,11%,12%,10%,10%,8%,6%,8%,8%,11%
Operating Profit,1014,841,1426,1305,1450,1887,2089,2375,3156,2588,2633,3450
OPM %,7%,5%,10%,8%,9%,11%,11%,10%,9%,9%,8%,9%
Other Income,105,179,159,150,83,129,17,240,83,304,706,-129
  └─ Exceptional items,10,25,6,-83,-29,-1,-106,-14,56,39,456,-478
  └─ Other income normal,95,153,153,233,113,130,123,254,28,264,250,349
Interest,420,451,417,336,425,430,236,152,298,295,372,454
Depreciation,244,250,248,251,272,319,332,334,376,421,512,763
Profit before tax,455,319,920,868,837,1266,1539,2129,2564,2175,2455,2103
Tax %,39%,45%,23%,40%,48%,30%,35%,26%,29%,26%,28%,34%
Net Profit,276,175,708,517,438,889,1000,1574,1828,1618,1773,1380
  └─ Minority share,-160,-141,-187,-262,-284,-421,-552,-667,-880,-718,-894,-811
  └─ Exceptional items AT,6,10,4,-47,-15,-1,-69,-10,40,29,329,-299
  └─ Profit excl Excep,271,165,704,564,452,890,1068,1584,1788,1588,1443,1680
  └─ Profit for PE,114,32,518,279,159,468,478,913,927,883,715,693
  └─ Profit for EPS,117,35,521,256,153,468,447,907,947,900,878,570
  └─ Profit Growth %,54%,-72%,1494%,-46%,-43%,195%,2%,91%,2%,-5%,-19%,-3%
EPS in Rs,6.64,1.96,29.61,14.45,8.67,26.43,25.26,51.12,53.37,50.68,49.41,32.02
Dividend Payout %,89%,0%,14%,21%,35%,0%,0%,22%,18%,8%,0%,6%
