Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales,261,234,185,232,284,226,176,37,138,75,206,87,63
  └─ Sales Growth %,-37%,-10%,-21%,26%,22%,-20%,-22%,-79%,271%,-46%,176%,-58%,
Expenses,251,224,172,212,253,196,203,90,160,59,122,99,104
  └─ Material Cost %,-1%,-18%,-26%,-15%,-45%,-29%,-29%,0%,52%,-21%,11%,-0%,
    └─ Change in inventory,-2.73,-41.50,-47.43,-34.86,-128.68,-65.98,-50.70,0.00,71.92,-15.64,23.67,-0.04,
  └─ Manufacturing Cost %,84%,99%,101%,93%,124%,104%,130%,200%,50%,74%,39%,93%,
  └─ Employee Cost %,8%,9%,10%,9%,7%,8%,9%,26%,7%,14%,5%,11%,
  └─ Other Cost %,6%,6%,7%,4%,3%,4%,4%,16%,7%,12%,4%,10%,
Operating Profit,10,10,13,20,31,30,-26,-53,-22,16,85,-12,-40
OPM %,4%,4%,7%,9%,11%,13%,-15%,-141%,-16%,22%,41%,-14%,-64%
Other Income,5,3,11,4,8,7,25,13,5,-85,229,11,28
  └─ Exceptional items,-1.53,0.47,0.03,0.16,0.00,-0.67,18.82,5.81,-4.25,-94.62,5.76,-1.30,
  └─ Other income normal,6.06,2.77,11.36,4.26,7.56,7.18,5.82,6.79,9.49,9.93,223.55,12.38,
Interest,19,26,33,34,36,33,32,30,29,38,24,25,14
Depreciation,1,1,2,6,6,5,4,4,3,3,3,3,1
Profit before tax,-6,-13,-11,-15,-3,-2,-38,-73,-49,-109,287,-28,-28
Tax %,36%,-16%,-7%,-22%,45%,-170%,-10%,-24%,-14%,7%,19%,0%,
Net Profit,-8,-11,-10,-12,-5,1,-34,-56,-42,-117,234,-28,-28
  └─ Minority share,0,0,0,0,0,0,0,0,0,0,0,0,
  └─ Exceptional items AT,-1,0,0,0,0,0,19,6,-4,-88,5,-1,
  └─ Profit excl Excep,-7,-12,-10,-12,-5,1,-53,-61,-38,-30,229,-27,
  └─ Profit for PE,-7,-12,-10,-12,-5,1,-53,-61,-38,-30,229,-27,
  └─ Profit for EPS,-8,-11,-10,-12,-5,1,-34,-56,-42,-117,234,-28,
  └─ Profit Growth %,-156%,-65%,15%,-21%,60%,125%,-4531%,-15%,39%,21%,873%,-112%,
EPS in Rs,-0.66,-0.94,-0.82,-0.99,-0.40,0.10,-2.86,-4.63,-3.49,-9.78,19.46,-2.01,-1.98
Dividend Payout %,-8%,0%,0%,-5%,-13%,49%,0%,0%,0%,0%,0%,0%,
