Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,1374,1719,1875,1696,3038,4378,4475,5000,5894
  └─ Sales Growth %,,25.14%,9.05%,-9.55%,79.16%,44.12%,2.21%,11.74%,17.89%
Expenses,1008,1264,1280,991,2265,3508,3371,3862,4700
  └─ Material Cost %,64%,64%,57%,45%,64%,70%,-0%,0%,0%
    └─ Raw material cost,872.40,1087.21,1059.63,770.70,1938.53,3083.32,0.00,3.81,8.15
    └─ Change in inventory,0.64,5.44,0.34,-1.08,-8.87,3.05,-0.54,-2.50,-1.22
  └─ Manufacturing Cost %,4%,4%,4%,5%,4%,4%,69%,71%,74%
  └─ Employee Cost %,3%,2%,3%,3%,2%,1%,2%,1%,1%
  └─ Other Cost %,3%,4%,5%,5%,5%,4%,5%,5%,5%
Operating Profit,366,455,595,704,773,870,1104,1137,1195
OPM %,27%,26%,32%,42%,25%,20%,25%,23%,20%
Other Income,80,59,44,30,46,54,62,42,60
  └─ Exceptional items,5,-17,7,-14,0,1,0,-1,5
  └─ Other income normal,74,75,38,44,46,54,61,42,55
Interest,125,90,41,40,53,78,111,101,129
Depreciation,61,67,51,63,83,113,158,204,243
Profit before tax,259,357,547,631,684,733,896,875,882
Tax %,36%,36%,20%,25%,26%,25%,26%,25%,26%
Net Profit,162,229,436,463,509,546,668,654,656
  └─ Profit from Associates,-3,-0,0,-9,0,0,0,0,0
  └─ Exceptional items AT,3,-11,5,-10,0,0,0,-1,4
  └─ Profit excl Excep,159,239,431,473,509,546,667,655,652
  └─ Profit for PE,159,239,431,473,509,546,667,655,652
  └─ Profit for EPS,162,229,436,463,509,546,668,654,656
  └─ Profit Growth %,,51%,80%,10%,8%,7%,22%,-2%,-0%
EPS in Rs,6.31,2.08,3.97,4.21,4.63,4.97,6.07,5.95,5.96
Dividend Payout %,0%,12%,6%,6%,5%,5%,4%,4%,4%
