Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,147,141,151,251,253,328,402,526
  └─ Sales Growth %,,-3.83%,7.16%,66.08%,0.81%,29.45%,22.66%,30.75%
Expenses,129,126,133,226,230,289,348,446
  └─ Material Cost %,64%,64%,65%,71%,69%,70%,69%,68%
    └─ Raw material cost,101,95,101,178,176,233,281,378
    └─ Change in inventory,-8,-5,-3,-0,-1,-3,-4,-21
  └─ Manufacturing Cost %,12%,13%,11%,9%,11%,10%,0%,0%
  └─ Employee Cost %,6%,7%,6%,6%,7%,5%,5%,5%
  └─ Other Cost %,6%,5%,5%,4%,4%,3%,12%,12%
Operating Profit,18,15,19,25,23,39,54,80
OPM %,12%,10%,12%,10%,9%,12%,13%,15%
Other Income,1,1,2,1,5,6,5,5
  └─ Exceptional items,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Other income normal,0.80,1.10,1.82,1.24,4.94,6.20,4.60,5.36
Interest,3,3,6,8,7,9,13,15
Depreciation,6,6,6,8,9,9,9,12
Profit before tax,10,6,8,11,12,27,36,58
Tax %,28%,28%,28%,28%,28%,28%,29%,23%
Net Profit,7,5,6,8,8,20,25,44
  └─ Minority share,0,0,0,0,0,0,0,-0
  └─ Exceptional items AT,0,0,0,0,0,0,0,0
  └─ Profit excl Excep,7,5,6,8,8,20,25,44
  └─ Profit for PE,7,5,6,8,8,20,26,44
  └─ Profit for EPS,7,5,6,8,8,20,26,44
  └─ Profit Growth %,,-35%,26%,30%,10%,133%,30%,73%
EPS in Rs,4.85,3.10,3.91,5.07,5.59,12.64,16.41,28.27
Dividend Payout %,-0%,-0%,26%,20%,-0%,8%,-0%,-0%
