Metric,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2020,Mar 2024,Mar 2025,Mar 2026
Sales,683,847,1055,1318,1627,7595,13767,15260,14944
  └─ Sales Growth %,,24.06%,24.54%,24.86%,23.51%,,,10.84%,-2.07%
Expenses,597,754,948,1213,1457,7316,12878,14527,14284
  └─ Material Cost %,61%,64%,64%,68%,65%,81%,82%,84%,84%
    └─ Raw material cost,407,548,688,911,1120,6448,11270,13474,12390
    └─ Change in inventory,12,-8,-13,-17,-56,-284,46,-728,138
  └─ Manufacturing Cost %,7%,6%,6%,5%,5%,0%,2%,2%,0%
  └─ Employee Cost %,8%,9%,8%,7%,7%,5%,3%,3%,3%
  └─ Other Cost %,11%,10%,12%,12%,12%,10%,6%,7%,9%
Operating Profit,86,93,107,104,170,279,890,733,660
OPM %,13%,11%,10%,8%,10%,4%,6%,5%,4%
Other Income,8,-0,2,6,9,-4,76,109,70
  └─ Exceptional items,3,-4,-2,-1,1,-32,2,30,4
  └─ Other income normal,5,3,4,8,8,28,74,79,66
Interest,2,3,4,7,2,83,16,16,19
Depreciation,22,12,15,17,28,181,191,180,145
Profit before tax,70,78,91,88,150,10,759,646,565
Tax %,36%,36%,37%,45%,36%,-131%,26%,26%,26%
Net Profit,45,50,57,49,96,23,563,479,420
  └─ Exceptional items AT,2,-3,-1,-1,1,-32,1,21,4
  └─ Profit excl Excep,43,53,59,49,95,55,562,458,416
  └─ Profit for PE,43,53,59,49,95,55,562,458,416
  └─ Profit for EPS,45,50,57,49,96,23,563,479,420
  └─ Profit Growth %,,21%,11%,-16%,93%,,,-19%,-9%
EPS in Rs,16.07,17.75,20.38,17.24,23.56,5.28,130.13,110.67,97.05
Dividend Payout %,44%,39%,34%,41%,34%,57%,12%,18%,26%
