Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,6202,5894,5612,5767,6117,4026,2200,2047,1874,1388,1076,1021
  └─ Sales Growth %,10.45%,-4.98%,-4.77%,2.75%,6.08%,-34.18%,-45.36%,-6.97%,-8.45%,-25.90%,-22.53%,-5.06%
Expenses,5600,5184,4972,5119,5408,3921,2193,2033,1862,1359,1053,966
  └─ Material Cost %,33%,33%,29%,33%,35%,32%,37%,24%,23%,15%,11%,11%
    └─ Raw material cost,1958,1960,1639,1915,2140,1297,707,477,427,199,137,118
    └─ Change in inventory,65,8,11,-15,-28,-12,106,8,5,5,-18,-9
  └─ Manufacturing Cost %,35%,43%,36%,6%,6%,6%,5%,5%,5%,65%,68%,0%
  └─ Employee Cost %,9%,11%,9%,9%,8%,10%,10%,9%,8%,8%,9%,11%
  └─ Other Cost %,14%,1%,14%,41%,40%,50%,48%,62%,64%,10%,10%,73%
Operating Profit,603,710,640,648,709,105,7,14,12,30,23,55
OPM %,10%,12%,11%,11%,12%,3%,0%,1%,1%,2%,2%,5%
Other Income,32,73,157,134,113,67,59,44,88,16,69,39
  └─ Exceptional items,-20.78,-23.26,-4.28,-1.26,7.57,10.49,18.70,-2.08,55.87,-2.00,39.51,0.77
  └─ Other income normal,52.50,96.62,161.58,135.56,105.02,56.85,40.71,46.15,32.16,17.98,29.39,37.90
Interest,393,429,445,452,471,517,644,755,839,80,15,13
Depreciation,154,206,199,184,168,138,125,105,86,70,55,29
Profit before tax,87,149,153,147,183,-483,-702,-801,-825,-103,22,52
Tax %,39%,29%,12%,23%,33%,-34%,-33%,-34%,-43%,-30%,44%,22%
Net Profit,53,105,134,113,122,-321,-469,-527,-471,-72,12,40
  └─ Profit from Associates,-0,0,0,0,0,0,0,0,0,0,0,0
  └─ Minority share,5,2,3,0,0,0,-0,-1,0,0,-0,-0
  └─ Exceptional items AT,-12,-13,-3,-1,4,10,19,-2,56,-2,29,1
  └─ Profit excl Excep,64,119,137,114,118,-331,-488,-525,-527,-70,-17,40
  └─ Profit for PE,69,121,140,114,118,-331,-488,-526,-527,-70,-17,39
  └─ Profit for EPS,57,108,137,113,122,-321,-469,-528,-471,-72,12,40
  └─ Profit Growth %,18%,75%,15%,-19%,4%,-381%,-47%,-8%,-0%,87%,76%,337%
EPS in Rs,11.59,21.75,27.65,22.81,21.40,-56.14,-82.13,-92.42,-82.41,-12.65,1.72,5.06
Dividend Payout %,4%,2%,2%,2%,2%,0%,0%,0%,0%,0%,0%,0%
