Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,18,18,15,15,19,41,128,173,195
  └─ Sales Growth %,,2.68%,-15.56%,0.99%,25.42%,112.16%,212.47%,35.80%,12.52%
Expenses,15,15,13,12,16,29,85,113,144
  └─ Material Cost %,0.00%,0.00%,1.78%,-1.43%,-11.38%,-0.78%,3.79%,0.25%,46.09%
    └─ Raw material cost,0,0,0,0,0,0,2,0,88
    └─ Change in inventory,0,0,0,-0,-2,-0,2,0,2
  └─ Manufacturing Cost %,48.86%,45.47%,47.27%,37.87%,50.83%,32.44%,33.62%,33.13%,0.00%
  └─ Employee Cost %,27.00%,30.07%,30.74%,37.94%,34.20%,31.19%,24.40%,25.73%,21.06%
  └─ Other Cost %,10.27%,7.84%,5.53%,6.39%,8.26%,7.57%,4.62%,6.16%,6.88%
Operating Profit,2,3,2,3,3,12,43,60,51
OPM %,14%,17%,15%,19%,18%,30%,34%,35%,26%
Other Income,0,0,0,0,0,0,3,7,14
  └─ Exceptional items,0.00,0.00,0.00,0.00,0.00,-0.04,-0.03,0.00,0.00
  └─ Other income normal,0.05,0.01,0.06,0.06,0.33,0.34,2.69,7.41,14.49
Interest,0,0,0,0,0,0,0,0,1
Depreciation,1,1,1,2,2,4,10,7,9
Profit before tax,2,2,1,1,2,9,36,60,55
Tax %,28%,28%,27%,25%,24%,25%,24%,25%,26%
Net Profit,1,1,1,1,2,7,27,45,41
  └─ Minority share,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01
  └─ Exceptional items AT,0.00,0.00,0.00,0.00,0.00,-0.03,-0.02,0.00,0.00
  └─ Profit excl Excep,1.25,1.35,1.04,1.08,1.50,6.55,26.91,45.20,40.82
  └─ Profit for PE,1.25,1.35,1.04,1.08,1.50,6.55,26.91,45.20,40.83
  └─ Profit for EPS,1.25,1.35,1.04,1.08,1.50,6.52,26.89,45.20,40.83
  └─ Profit Growth %,,8.00%,-22.96%,3.85%,38.89%,336.67%,310.84%,67.97%,-9.67%
EPS in Rs,4.17,4.50,3.47,0.80,0.77,3.36,13.87,23.31,19.58
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,10%
