Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales,1351,1380,1346,1462,1186,1315,1059,861,237,187,149,116,84
  └─ Sales Growth %,21.83%,2.17%,-2.50%,8.64%,-18.90%,10.92%,-19.49%,-18.64%,-72.46%,-21.15%,-20.33%,-22.00%,
Expenses,1139,1156,1111,1057,971,1135,1049,830,245,374,182,129,98
  └─ Material Cost %,49%,47%,46%,37%,40%,39%,44%,41%,65%,145%,48%,51%,
    └─ Raw material cost,664,699,610,566,490,562,483,358,153,209,90,58,
    └─ Change in inventory,-7,-53,14,-30,-10,-44,-21,-3,0,63,-18,2,
  └─ Manufacturing Cost %,14%,16%,15%,14%,18%,20%,23%,21%,12%,16%,11%,10%,
  └─ Employee Cost %,12%,13%,13%,13%,17%,18%,22%,22%,15%,18%,25%,27%,
  └─ Other Cost %,9%,7%,8%,8%,7%,9%,10%,12%,12%,21%,39%,23%,
Operating Profit,212,224,234,404,215,180,10,32,-8,-187,-33,-13,-15
OPM %,16%,16%,17%,28%,18%,14%,1%,4%,-3%,-100%,-22%,-11%,-18%
Other Income,8,6,11,8,10,23,8,10,1,1,10,4,5
  └─ Other income normal,8.22,5.87,10.81,8.09,9.61,22.96,8.26,9.82,1.27,0.97,9.98,4.37,
Interest,67,86,84,68,82,70,61,56,40,36,3,3,5
Depreciation,66,66,61,58,56,67,67,56,18,108,20,20,20
Profit before tax,87,78,100,286,86,66,-109,-70,-65,-331,-46,-32,-35
Tax %,24%,7%,16%,25%,11%,13%,-0%,3%,4%,-1%,-1%,0%,
Net Profit,66,72,84,214,76,57,-109,-72,-68,-329,-45,-32,-35
  └─ Minority share,0.00,0.00,0.00,0.00,1.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
  └─ Profit excl Excep,66.39,72.05,83.67,213.98,76.09,57.37,-109.12,-71.89,-67.65,-328.54,-45.45,-31.96,
  └─ Profit for PE,66.39,72.05,83.67,213.98,77.94,57.37,-109.12,-71.89,-67.65,-328.54,-45.45,-31.96,
  └─ Profit for EPS,66.39,72.05,83.67,213.98,77.94,57.37,-109.12,-71.89,-67.65,-328.54,-45.45,-31.96,
  └─ Profit Growth %,-20.57%,8.53%,16.13%,155.74%,-63.58%,-26.39%,-290.20%,34.12%,5.90%,-385.65%,86.17%,29.68%,
EPS in Rs,8.20,8.90,10.33,26.41,9.44,6.95,-13.16,-8.67,-8.16,-39.62,-5.48,-3.85,-4.22
Dividend Payout %,7%,0%,0%,2%,4%,0%,0%,0%,0%,0%,0%,0%,
