Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,8,1,142,153,401,299,210,216,326,380,274,154
  └─ Sales Growth %,-12.37%,-91.10%,18769.33%,8.25%,162.02%,-25.46%,-29.98%,3.28%,50.80%,16.36%,-27.77%,-43.75%
Expenses,9,4,173,172,248,116,163,266,322,242,218,179
  └─ Manufacturing Cost %,60%,7%,71%,52%,33%,26%,20%,41%,30%,31%,28%,0%
  └─ Employee Cost %,34%,389%,5%,6%,3%,5%,7%,6%,4%,3%,2%,3%
  └─ Other Cost %,16%,92%,47%,54%,25%,8%,52%,76%,64%,30%,49%,113%
Operating Profit,-1,-3,-32,-18,153,184,46,-50,4,138,57,-24
OPM %,-11%,-388%,-22%,-12%,38%,61%,22%,-23%,1%,36%,21%,-16%
Other Income,33,4,1,98,48,34,35,-133,14,11,206,31
  └─ Exceptional items,0.00,0.00,-0.07,0.08,3.69,5.09,4.01,-141.24,7.64,1.47,1.34,0.00
  └─ Other income normal,33.06,3.50,1.26,97.43,44.36,29.16,31.43,8.39,6.50,9.91,204.38,30.89
Interest,41,50,31,44,205,193,167,182,184,188,54,0
Depreciation,0,0,0,0,34,36,39,43,57,82,74,66
Profit before tax,-8,-50,-62,35,-37,-12,-125,-408,-222,-121,134,-59
Tax %,0%,0%,1%,33%,16%,9%,-5%,-5%,-8%,-6%,-2%,1%
Net Profit,-26,-93,-62,23,-44,-13,-119,-389,-205,-113,136,-59
  └─ Profit from Associates,-18,-43,0,0,0,0,0,0,0,0,0,0
  └─ Minority share,0,0,0,0,5,-3,5,12,-4,1,5,30
  └─ Exceptional items AT,0,0,-0,0,4,5,4,-141,8,1,1,0
  └─ Profit excl Excep,-26,-93,-62,23,-47,-18,-123,-247,-213,-115,135,-59
  └─ Profit for PE,-26,-93,-62,23,-42,-21,-118,-240,-217,-113,140,-30
  └─ Profit for EPS,-26,-93,-62,23,-38,-16,-114,-376,-210,-112,141,-30
  └─ Profit Growth %,57%,-250%,33%,137%,-279%,49%,-461%,-103%,9%,48%,223%,-121%
EPS in Rs,-26.42,-92.54,-11.40,2.78,-4.56,-1.90,-13.61,-44.83,-24.96,-13.34,16.81,-3.53
Dividend Payout %,0%,0%,0%,36%,-11%,0%,0%,0%,0%,0%,0%,0%
