Metric,Mar 201515m,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Mar 2015
Sales,3244,6094,8762,11248,6603,6833,795,1888,5048,7299,8140,8398,
  └─ Sales Growth %,,87.84%,43.79%,28.37%,-41.30%,3.47%,-88.36%,137.52%,167.32%,44.61%,11.51%,3.18%,152.07%
Expenses,3001,5910,8425,10876,6520,6726,1147,2075,4870,6862,7662,7971,
  └─ Manufacturing Cost %,,33%,42%,42%,78%,76%,51%,67%,73%,74%,75%,0%,4%
  └─ Employee Cost %,,55%,47%,47%,12%,14%,62%,31%,15%,13%,13%,14%,79%
  └─ Other Cost %,,9%,7%,7%,9%,8%,31%,12%,8%,6%,6%,81%,9%
Operating Profit,243,184,338,372,83,107,-352,-187,178,437,478,428,
OPM %,7%,3%,4%,3%,1%,2%,-44%,-10%,4%,6%,6%,5%,
Other Income,41,-31,84,6005,168,76,146,55,62,134,141,154,
  └─ Exceptional items,,-90,18,5833,-1,-39,-4,-2,-1,-1,-5,-6,-1
  └─ Other income normal,,60,66,172,168,115,150,58,63,135,146,160,42
Interest,71,92,132,149,73,101,62,62,89,99,95,95,
Depreciation,41,61,91,137,67,151,148,129,124,128,142,160,
Profit before tax,171,1,199,6091,110,-69,-416,-322,27,345,382,327,
Tax %,34%,6392%,57%,-1%,19%,-74%,-29%,-21%,61%,21%,32%,34%,
Net Profit,112,-59,86,6131,89,-18,-295,-254,10,271,258,220,
  └─ Profit from Associates,,0,0,0,0,0,0,0,0,0,0,4,0
  └─ Minority share,,-19,-43,-163,-4,17,41,25,-4,-12,-4,-2,-22
  └─ Exceptional items AT,,7120,8,5712,-0,-22,-4,-2,-0,-0,-3,-4,-1
  └─ Profit excl Excep,,-7179,78,420,89,5,-291,-252,11,272,262,224,113
  └─ Profit for PE,,-7198,39,409,85,0,-250,-227,7,259,257,223,91
  └─ Profit for EPS,,-78,43,5968,85,-1,-254,-229,6,259,254,219,90
  └─ Profit Growth %,,-8020%,101%,936%,-79%,-100%,-137009%,9%,103%,3796%,-1%,-13%,43%
EPS in Rs,3.31,-2.13,1.18,161.21,2.29,-0.02,-6.72,-5.18,0.14,5.51,5.41,4.65,
Dividend Payout %,15%,-18%,32%,0%,16%,0%,0%,0%,291%,11%,8%,11%,
