Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales,3936,4041,3335,1758,1467,848,974,1069,598,397,400,476,426
  └─ Sales Growth %,7.18%,2.66%,-17.48%,-47.28%,-16.56%,-42.17%,14.83%,9.80%,-44.05%,-33.69%,0.74%,19.01%,
Expenses,1732,1662,1443,851,2053,4369,8340,2018,1580,528,556,304,264
  └─ Manufacturing Cost %,6.61%,5.62%,6.07%,8.21%,10.72%,18.19%,15.53%,15.90%,15.10%,21.31%,13.15%,10.74%,
  └─ Employee Cost %,12.46%,14.05%,15.10%,13.62%,15.30%,24.82%,21.68%,21.75%,26.93%,26.75%,22.65%,15.85%,
  └─ Other Cost %,24.94%,21.47%,22.09%,26.61%,113.93%,471.99%,818.97%,151.06%,222.03%,84.99%,103.24%,37.28%,
Operating Profit,2204,2379,1892,907,-586,-3520,-7365,-949,-982,-131,-156,172,163
OPM %,56%,59%,57%,52%,-40%,-415%,-756%,-89%,-164%,-33%,-39%,36%,38%
Other Income,31,44,21,15,14,113,13,257,69,225,48,192,18
  └─ Exceptional items,-0,-0,0,10,0,1,-1,33,54,91,0,0,
  └─ Other income normal,31,44,21,5,14,112,13,224,15,134,48,192,
Interest,1141,1091,1038,1090,1282,1137,1203,1106,1097,1110,1092,1110,852
Depreciation,548,598,902,701,665,675,845,195,145,47,97,118,100
Profit before tax,546,734,-27,-870,-2518,-5220,-9401,-1992,-2154,-1063,-1297,-865,-771
Tax %,28%,26%,806%,20%,4%,1%,-5%,-1%,1%,3%,2%,3%,
Net Profit,393,545,-241,-1041,-2606,-5273,-8973,-1973,-2177,-1091,-1318,-889,-791
  └─ Profit from Associates,2,4,0,0,0,0,0,0,0,0,0,0,
  └─ Exceptional items AT,-0,-0,0,10,0,1,-1,33,54,93,0,0,
  └─ Profit excl Excep,393,545,-241,-1051,-2607,-5274,-8972,-2006,-2231,-1184,-1318,-889,
  └─ Profit for PE,393,545,-241,-1051,-2607,-5274,-8972,-2006,-2231,-1184,-1318,-889,
  └─ Profit for EPS,393,545,-241,-1041,-2606,-5273,-8973,-1973,-2177,-1091,-1318,-889,
  └─ Profit Growth %,103%,39%,-144%,-336%,-148%,-102%,-70%,78%,-11%,47%,-11%,33%,
EPS in Rs,90.33,94.35,-41.30,-178.33,-446.58,-903.52,-1537.32,-337.96,-373.01,-186.88,-225.79,-152.38,-135.46
Dividend Payout %,4%,4%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
