Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,1102,1479,1818,1492,1560,2217,3183,4452,5690,8069
  └─ Sales Growth %,,34.23%,22.91%,-17.91%,4.52%,42.12%,43.55%,39.88%,27.83%,41.80%
Expenses,874,1185,1375,1095,1122,1683,2499,3573,4857,6832
  └─ Material Cost %,35%,-1%,39%,39%,43%,47%,51%,53%,55%,55%
    └─ Raw material cost,406,0,710,572,673,1065,1700,2522,3297,4525
    └─ Change in inventory,-22,-16,-7,15,-6,-31,-70,-150,-195,-123
  └─ Manufacturing Cost %,22%,61%,19%,19%,16%,17%,16%,17%,18%,0%
  └─ Employee Cost %,14%,14%,13%,10%,9%,8%,7%,6%,8%,7%
  └─ Other Cost %,8%,6%,5%,5%,4%,4%,4%,4%,5%,23%
Operating Profit,228,294,443,398,438,534,684,879,833,1238
OPM %,21%,20%,24%,27%,28%,24%,21%,20%,15%,15%
Other Income,11,12,14,3,10,8,13,18,0,50
  └─ Exceptional items,0,0,0,-6,1,1,0,1,-26,-13
  └─ Other income normal,10,12,14,9,10,6,13,17,26,62
Interest,90,112,141,149,107,84,120,175,217,309
Depreciation,113,149,176,196,192,206,222,278,347,444
Profit before tax,37,44,140,56,149,252,355,445,270,534
Tax %,-117%,28%,30%,28%,35%,35%,29%,24%,26%,28%
Net Profit,80,32,97,40,97,163,251,337,201,384
  └─ Minority share,0,0,0,0,0,0,-3,-33,-6,0
  └─ Exceptional items AT,0,0,0,-4,0,1,0,1,-18,-9
  └─ Profit excl Excep,79,32,97,44,97,162,251,337,219,393
  └─ Profit for PE,79,32,97,44,97,162,248,304,212,393
  └─ Profit for EPS,80,32,97,40,97,163,248,304,195,384
  └─ Profit Growth %,,-60%,208%,-54%,120%,67%,53%,22%,-30%,85%
EPS in Rs,1387.02,313.39,48.39,19.88,46.08,77.19,117.56,144.11,81.56,160.96
Dividend Payout %,-0%,3%,5%,-0%,-0%,5%,10%,8%,6%,7%
