Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales,917,1009,1185,1352,1224,1224,1446,1810,1879,1926,1948
  └─ Sales Growth %,,9.95%,17.53%,14.02%,-9.46%,0.05%,18.09%,25.22%,3.81%,2.49%,
Expenses,776,833,1008,1153,1057,1066,1217,1510,1576,1624,1651
  └─ Material Cost %,48.05%,43.37%,43.50%,44.85%,44.97%,51.20%,47.28%,45.55%,46.97%,47.34%,
    └─ Raw material cost,447,436,554,629,578,581,787,894,875,944,
    └─ Change in inventory,-7,1,-38,-23,-28,46,-104,-69,8,-32,
  └─ Manufacturing Cost %,7.26%,7.23%,7.93%,7.09%,7.98%,5.86%,6.42%,7.09%,5.44%,5.78%,
  └─ Employee Cost %,12.12%,12.39%,12.61%,12.26%,14.01%,12.57%,13.40%,11.87%,12.31%,12.75%,
  └─ Other Cost %,17.16%,19.60%,21.00%,21.08%,19.39%,17.47%,17.06%,18.88%,19.14%,18.45%,
Operating Profit,141,176,177,199,167,158,229,301,304,302,297
OPM %,15%,17%,15%,15%,14%,13%,16%,17%,16%,16%,15%
Other Income,10,15,14,18,17,25,18,23,58,57,61
  └─ Exceptional items,1,5,2,0,-0,1,-5,-4,-0,0,
  └─ Other income normal,9,10,12,18,17,24,23,27,58,57,
Interest,5,10,10,9,10,10,5,6,6,7,8
Depreciation,16,22,27,28,39,40,32,33,37,41,41
Profit before tax,129,158,155,180,135,134,209,285,319,311,309
Tax %,36%,37%,32%,36%,18%,25%,27%,26%,24%,20%,
Net Profit,83,100,106,115,111,100,153,211,241,249,248
  └─ Profit from Associates,0,-0,-0,0,0,0,0,0,0,0,
  └─ Minority share,0,2,-3,-0,3,1,-2,-2,-2,-2,
  └─ Exceptional items AT,1,3,2,0,-0,1,-4,-3,-0,0,
  └─ Profit excl Excep,83,97,104,115,111,99,157,214,241,249,
  └─ Profit for PE,83,99,102,115,113,100,155,212,239,246,
  └─ Profit for EPS,83,102,103,115,113,101,151,209,239,246,
  └─ Profit Growth %,,19%,3%,13%,-1%,-12%,55%,37%,13%,3%,
EPS in Rs,64.17,78.23,79.33,88.51,87.08,77.48,116.18,161.00,183.76,191.11,190.72
Dividend Payout %,14%,15%,15%,15%,15%,17%,30%,31%,33%,34%,
