Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Sales,267,301,346,405,438,479,631
  └─ Sales Growth %,,12.77%,14.95%,16.98%,8.20%,9.29%,31.85%
Expenses,221,251,284,335,361,384,511
  └─ Material Cost %,51%,50%,47%,49%,47%,48%,51%
    └─ Raw material cost,132,153,168,201,204,235,333
    └─ Change in inventory,3,-2,-4,-1,1,-5,-8
  └─ Manufacturing Cost %,17%,17%,18%,16%,22%,19%,19%
  └─ Employee Cost %,9%,10%,11%,11%,7%,7%,6%
  └─ Other Cost %,6%,6%,6%,6%,6%,6%,5%
Operating Profit,46,50,62,70,77,95,121
OPM %,17%,17%,18%,17%,18%,20%,19%
Other Income,0,1,1,1,1,1,2
  └─ Exceptional items,-0.19,-0.10,-0.08,-0.02,-0.13,-0.22,0.04
  └─ Other income normal,0.65,0.84,0.96,1.13,1.16,0.89,1.46
Interest,1,2,5,8,10,10,9
Depreciation,8,10,13,16,19,22,26
Profit before tax,37,38,45,48,48,64,87
Tax %,34%,37%,38%,33%,23%,25%,26%
Net Profit,24,24,28,32,37,48,64
  └─ Exceptional items AT,-0,-0,-0,-0,-0,-0,0
  └─ Profit excl Excep,24,24,28,32,38,48,64
  └─ Profit for PE,24,24,28,32,38,48,64
  └─ Profit for EPS,24,24,28,32,37,48,64
  └─ Profit Growth %,,0%,15%,14%,18%,28%,32%
EPS in Rs,8.55,8.57,9.87,11.32,13.23,17.27,20.37
Dividend Payout %,37%,41%,40%,35%,37%,41%,39%
