Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,299,276,268,245,220,276,406,670,608,477,451
  └─ Sales Growth %,,-7.69%,-2.79%,-8.66%,-10.18%,25.45%,46.94%,65.07%,-9.29%,-21.54%,-5.41%
Expenses,261,246,240,225,208,235,351,596,547,427,441
  └─ Material Cost %,63%,63%,62%,61%,61%,64%,67%,73%,70%,61%,62%
    └─ Raw material cost,188,179,178,158,165,143,288,492,442,321,290
    └─ Change in inventory,1,-3,-11,-8,-30,33,-15,-6,-19,-29,-10
  └─ Manufacturing Cost %,1%,1%,1%,1%,2%,1%,1%,1%,1%,2%,0%
  └─ Employee Cost %,10%,11%,14%,14%,15%,10%,9%,7%,9%,13%,17%
  └─ Other Cost %,13%,13%,13%,15%,17%,10%,9%,8%,10%,14%,18%
Operating Profit,38,30,28,21,12,41,55,74,61,50,10
OPM %,13%,11%,10%,8%,6%,15%,14%,11%,10%,10%,2%
Other Income,4,2,3,20,3,3,2,3,9,22,23
  └─ Exceptional items,1.32,1.30,0.96,0.08,0.90,0.20,1.39,0.49,0.58,10.82,-0.24
  └─ Other income normal,2.53,0.59,1.61,19.86,2.04,3.04,1.11,2.68,8.55,11.20,23.67
Interest,2,2,1,2,1,3,3,9,10,11,11
Depreciation,9,7,8,7,8,10,11,14,16,21,30
Profit before tax,31,23,21,31,6,32,44,54,44,40,-8
Tax %,29%,11%,6%,21%,-19%,22%,30%,31%,24%,19%,-31%
Net Profit,22,20,20,24,7,25,30,38,34,32,-5
  └─ Exceptional items AT,1,1,1,0,1,0,1,0,0,8,-0
  └─ Profit excl Excep,22,20,19,24,7,24,29,37,33,24,-5
  └─ Profit for PE,22,20,19,24,7,24,29,37,33,24,-5
  └─ Profit for EPS,22,20,20,24,7,25,30,38,34,32,-5
  └─ Profit Growth %,,-9%,-1%,26%,-73%,275%,20%,27%,-10%,-27%,-121%
EPS in Rs,7.03,6.40,6.27,7.64,2.32,7.70,9.43,11.16,9.67,9.21,-1.54
Dividend Payout %,32%,31%,32%,0%,65%,32%,32%,31%,36%,27%,0%
