Metric,Dec 2013,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Dec 2018
Sales,77,102,162,195,213,195
  └─ Sales Growth %,,32.43%,58.49%,20.01%,9.28%,-8.42%
Expenses,64,85,127,155,169,154
  └─ Material Cost %,55.93%,56.15%,55.41%,54.00%,52.56%,49.55%
    └─ Raw material cost,44,60,94,112,109,93
    └─ Change in inventory,-1,-3,-4,-7,3,4
  └─ Manufacturing Cost %,8.17%,8.77%,6.49%,7.18%,7.93%,9.84%
  └─ Employee Cost %,11.35%,11.55%,8.56%,8.71%,9.51%,10.76%
  └─ Other Cost %,7.41%,7.02%,7.78%,9.89%,9.47%,8.95%
Operating Profit,13,17,35,39,44,41
OPM %,17%,17%,22%,20%,21%,21%
Other Income,3,3,3,4,4,14
  └─ Exceptional items,-0.03,-0.04,0.20,-0.02,0.00,8.08
  └─ Other income normal,3.47,3.12,3.13,4.02,4.06,6.19
Interest,0,0,0,0,0,0
Depreciation,2,3,5,5,6,5
Profit before tax,15,17,33,38,42,49
Tax %,30%,33%,34%,34%,35%,32%
Net Profit,11,12,22,25,27,34
  └─ Exceptional items AT,-0.02,-0.03,0.13,-0.01,0.00,5.47
  └─ Profit excl Excep,10.60,11.63,21.75,24.95,27.16,28.13
  └─ Profit for PE,10.60,11.63,21.75,24.95,27.16,28.13
  └─ Profit for EPS,10.58,11.60,21.88,24.94,27.16,33.60
  └─ Profit Growth %,,9.72%,87.02%,14.71%,8.86%,3.57%
EPS in Rs,50.67,55.56,104.79,119.44,130.08,160.92
Dividend Payout %,30%,28%,28%,26%,28%,34%
