Metric,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,Dec 2022,Dec 2023,Dec 2024,Dec 2025,TTM
Sales,11921,10205,9258,11303,14049,12361,10465,14527,21011,18141,15374,16946,17699
  └─ Sales Growth %,1.64%,-14.40%,-9.28%,22.09%,24.29%,-12.02%,-15.34%,38.82%,44.64%,-13.66%,-15.25%,10.22%,
Expenses,10716,8854,7727,9030,12083,10880,8787,12166,17474,17208,14100,14809,15245
  └─ Material Cost %,58%,52%,48%,48%,55%,54%,47%,51%,54%,61%,58%,57%,
    └─ Raw material cost,6772,5306,4326,5747,7977,6362,4759,7916,11904,10622,8729,9595,
    └─ Change in inventory,119,-17,91,-302,-250,366,125,-508,-615,480,124,57,
  └─ Manufacturing Cost %,11%,11%,11%,9%,9%,9%,10%,12%,12%,11%,12%,11%,
  └─ Employee Cost %,8%,9%,11%,9%,9%,10%,12%,9%,6%,7%,9%,8%,
  └─ Other Cost %,13%,14%,14%,13%,13%,14%,15%,13%,11%,15%,13%,12%,
Operating Profit,1205,1351,1531,2273,1966,1481,1677,2360,3537,933,1274,2137,2453
OPM %,10%,13%,17%,20%,14%,12%,16%,16%,17%,5%,8%,13%,14%
Other Income,-180,72,99,-68,42,156,456,193,105,180,248,141,162
  └─ Exceptional items,-257,3,-25,-177,7,12,1,35,3,4,1,0,
  └─ Other income normal,76,68,124,109,35,145,454,158,102,176,247,141,
Interest,620,596,631,595,457,452,491,479,524,819,941,922,936
Depreciation,347,328,519,526,555,594,792,798,790,776,807,922,963
Profit before tax,58,498,480,1084,996,591,851,1276,2327,-482,-226,435,716
Tax %,-21%,39%,37%,27%,37%,22%,31%,46%,32%,65%,99%,69%,
Net Profit,70,302,301,792,631,462,588,694,1577,-796,-450,136,409
  └─ Profit from Associates,-0,-1,0,0,0,0,0,0,0,0,0,0,
  └─ Minority share,19,22,-10,-29,-50,-71,-30,-113,-138,-142,-114,-93,
  └─ Exceptional items AT,-145,1,-10,-106,4,6,1,19,2,4,1,0,
  └─ Profit excl Excep,215,301,311,899,627,457,587,675,1575,-800,-450,136,
  └─ Profit for PE,233,322,301,866,578,387,557,564,1437,-942,-565,42,
  └─ Profit for EPS,89,323,291,764,582,391,558,580,1439,-938,-564,43,
  └─ Profit Growth %,-39%,38%,-7%,188%,-33%,-33%,44%,1%,155%,-166%,40%,108%,
EPS in Rs,2.63,9.61,8.65,22.70,17.29,11.64,16.60,17.25,42.77,-27.89,-16.78,1.26,8.96
Dividend Payout %,38%,10%,12%,9%,6%,9%,6%,6%,2%,-4%,-6%,79%,
