Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,0,195,181,217,242,217,234,369
  └─ Sales Growth %,,46398%,-7%,20%,12%,-10%,8%,57%
Expenses,0,188,168,188,218,193,212,342
  └─ Manufacturing Cost %,0%,4%,3%,2%,2%,20%,24%,0%
  └─ Employee Cost %,38%,89%,85%,82%,85%,63%,61%,51%
  └─ Other Cost %,43%,4%,5%,3%,3%,6%,5%,42%
Operating Profit,0,7,13,28,24,24,22,26
OPM %,19%,4%,7%,13%,10%,11%,10%,7%
Other Income,0,-1,15,1,5,3,2,1
  └─ Exceptional items,0.00,0.00,14.07,0.44,0.00,0.00,0.00,0.00
  └─ Other income normal,0.00,-1.02,0.85,0.33,4.78,3.27,1.94,0.53
Interest,0,1,2,2,4,3,3,3
Depreciation,0,1,5,5,8,9,8,6
Profit before tax,0,4,21,22,17,15,13,17
Tax %,0%,1%,6%,7%,27%,24%,25%,15%
Net Profit,0,4,20,20,12,12,10,15
  └─ Minority share,0.00,0.00,0.00,0.00,0.00,0.00,-0.76,-3.09
  └─ Exceptional items AT,0.00,0.00,10.84,0.39,0.00,0.00,0.00,0.00
  └─ Profit excl Excep,0.03,3.89,9.33,19.83,12.46,11.67,9.91,14.62
  └─ Profit for PE,0.03,3.89,9.33,19.83,12.46,11.67,9.15,11.53
  └─ Profit for EPS,0.03,3.89,20.17,20.22,12.46,11.67,9.15,11.53
  └─ Profit Growth %,,12866.67%,139.85%,112.54%,-37.17%,-6.34%,-21.59%,26.01%
EPS in Rs,0.02,0.32,1.68,1.52,0.94,0.88,0.69,0.86
Dividend Payout %,0%,0%,0%,0%,0%,6%,0%,6%
