Metric,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,1006,968,995,1240
  └─ Sales Growth %,,-3.81%,2.74%,24.72%
Expenses,878,844,885,1076
  └─ Material Cost %,70%,68%,69%,68%
    └─ Raw material cost,708,665,665,855
    └─ Change in inventory,-3,-7,18,-7
  └─ Manufacturing Cost %,2%,2%,2%,0%
  └─ Employee Cost %,8%,9%,10%,9%
  └─ Other Cost %,7%,8%,8%,9%
Operating Profit,128,124,110,165
OPM %,13%,13%,11%,13%
Other Income,25,60,38,4
  └─ Exceptional items,1.40,4.10,3.28,0.00
  └─ Other income normal,23.27,56.38,34.95,4.35
Interest,2,3,2,2
Depreciation,27,27,25,26
Profit before tax,124,155,120,142
Tax %,25%,22%,23%,26%
Net Profit,92,121,93,105
  └─ Exceptional items AT,1,3,3,0
  └─ Profit excl Excep,91,118,90,105
  └─ Profit for PE,91,118,90,105
  └─ Profit for EPS,92,121,93,105
  └─ Profit Growth %,,29%,-23%,16%
EPS in Rs,106.90,140.14,107.56,121.02
Dividend Payout %,23%,14%,19%,21%
