Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,36.08,50.10,41.73,41.93,41.59,35.79,49.90,33.34,43.52
  └─ Sales Growth %,,38.86%,-16.71%,0.48%,-0.81%,-13.95%,39.42%,-33.19%,30.53%
Expenses,26.96,40.72,38.65,44.62,44.18,33.81,48.03,32.81,43.20
  └─ Material Cost %,-9%,-6%,10%,8%,17%,-7%,-8%,3%,9%
    └─ Raw material cost,0.69,1.48,2.55,0.00,0.00,0.00,0.00,0.00,4.97
    └─ Change in inventory,-4.09,-4.64,1.63,3.21,6.95,-2.42,-4.02,1.13,-1.06
  └─ Manufacturing Cost %,0%,0%,0%,66%,51%,58%,65%,49%,0%
  └─ Employee Cost %,47%,41%,38%,30%,35%,40%,37%,43%,35%
  └─ Other Cost %,37%,47%,44%,3%,3%,4%,3%,3%,55%
Operating Profit,9.12,9.38,3.08,-2.69,-2.59,1.98,1.87,0.53,0.32
OPM %,25.28%,18.72%,7.38%,-6.42%,-6.23%,5.53%,3.75%,1.59%,0.74%
Other Income,0.15,0.58,0.22,-0.15,-0.09,0.15,0.09,0.04,-0.47
  └─ Exceptional items,0.00,0.00,0.00,-0.25,-0.16,0.00,-0.08,0.00,-0.52
  └─ Other income normal,0.15,0.58,0.22,0.10,0.07,0.15,0.17,0.04,0.05
Interest,3.05,1.45,0.65,0.43,0.59,0.39,0.47,0.47,0.59
Depreciation,0.83,1.42,1.48,1.16,0.98,0.98,0.98,0.92,0.74
Profit before tax,5.39,7.09,1.17,-4.43,-4.25,0.76,0.51,-0.82,-1.48
Tax %,28.01%,26.80%,30.77%,-2.71%,-32.94%,21.05%,-7.84%,-17.07%,-18.92%
Net Profit,3.88,5.19,0.80,-4.31,-2.85,0.61,0.54,-0.69,-1.20
  └─ Exceptional items AT,0.00,0.00,0.00,-0.25,-0.16,0.00,-0.08,0.00,-0.52
  └─ Profit excl Excep,3.88,5.19,0.80,-4.06,-2.69,0.61,0.62,-0.69,-0.68
  └─ Profit for PE,3.88,5.19,0.80,-4.06,-2.69,0.61,0.62,-0.69,-0.68
  └─ Profit for EPS,3.88,5.19,0.80,-4.31,-2.85,0.61,0.54,-0.69,-1.20
  └─ Profit Growth %,,33.76%,-84.59%,-607.50%,33.74%,122.68%,1.64%,-211.29%,1.45%
EPS in Rs,3.63,4.85,0.75,-4.03,-2.67,0.57,0.50,-0.65,-1.12
Dividend Payout %,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
