Metric,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,416,576,698,686,929,823
  └─ Sales Growth %,,38.49%,21.05%,-1.62%,35.29%,-11.35%
Expenses,403,559,679,661,903,798
  └─ Material Cost %,82%,85%,84%,82%,85%,83%
    └─ Raw material cost,338,486,589,576,786,728
    └─ Change in inventory,4,1,-3,-11,7,-45
  └─ Manufacturing Cost %,5%,4%,10%,10%,8%,0%
  └─ Employee Cost %,2%,1%,1%,1%,1%,2%
  └─ Other Cost %,8%,7%,3%,3%,2%,12%
Operating Profit,13,17,19,25,26,26
OPM %,3%,3%,3%,4%,3%,3%
Other Income,3,2,9,7,7,6
  └─ Exceptional items,0.04,0.00,0.17,0.00,0.00,0.00
  └─ Other income normal,3.21,2.38,8.48,6.55,7.16,5.59
Interest,4,5,6,10,8,10
Depreciation,4,5,2,4,5,5
Profit before tax,9,9,19,18,20,16
Tax %,28%,28%,24%,26%,25%,31%
Net Profit,6,7,15,13,15,11
  └─ Minority share,0.00,0.00,0.00,0.00,0.03,0.00
  └─ Exceptional items AT,0.03,0.00,0.13,0.00,0.00,0.00
  └─ Profit excl Excep,6.14,6.59,14.56,13.03,14.97,11.43
  └─ Profit for PE,6.14,6.59,14.56,13.03,15.00,11.43
  └─ Profit for EPS,6.17,6.59,14.69,13.03,15.00,11.43
  └─ Profit Growth %,,7.33%,120.94%,-10.51%,15.12%,-23.80%
EPS in Rs,134.51,143.67,320.25,8.04,6.56,5.00
Dividend Payout %,-0%,-0%,-0%,-0%,-0%,-0%
