Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,314,451,624,476,497,627,719
  └─ Sales Growth %,,43.41%,38.50%,-23.73%,4.34%,26.18%,14.72%
Expenses,296,395,575,453,477,581,654
  └─ Material Cost %,60%,56%,61%,62%,62%,62%,64%
    └─ Raw material cost,188,266,392,283,316,400,449
    └─ Change in inventory,2,-14,-14,14,-7,-11,8
  └─ Manufacturing Cost %,16%,15%,11%,12%,13%,12%,0%
  └─ Employee Cost %,11%,9%,9%,12%,12%,10%,10%
  └─ Other Cost %,7%,8%,11%,9%,8%,9%,17%
Operating Profit,18,55,49,23,20,45,65
OPM %,6%,12%,8%,5%,4%,7%,9%
Other Income,8,7,12,2,11,3,11
  └─ Exceptional items,-0.05,0.06,-0.30,-2.01,0.05,-11.38,-1.30
  └─ Other income normal,7.74,7.35,12.67,4.47,11.40,14.14,12.55
Interest,11,9,14,12,17,21,11
Depreciation,9,9,11,11,13,14,12
Profit before tax,6,44,37,2,2,13,53
Tax %,22%,31%,29%,-68%,47%,13%,25%
Net Profit,5,30,26,4,1,11,40
  └─ Exceptional items AT,-0,0,-0,-2,0,-9,-1
  └─ Profit excl Excep,5,30,26,5,1,20,41
  └─ Profit for PE,5,30,26,5,1,20,41
  └─ Profit for EPS,5,30,26,4,1,11,40
  └─ Profit Growth %,,509%,-13%,-80%,-86%,2595%,99%
EPS in Rs,2.29,14.10,12.20,1.68,0.38,4.94,16.14
Dividend Payout %,17%,13%,18%,30%,0%,18%,7%
