Metric,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016
Sales,0,0,18,78,125,194,229,258,304,410,450
  └─ Sales Growth %,,,,326.83%,61.31%,55.18%,17.90%,12.62%,17.74%,35.09%,9.60%
Expenses,32,40,78,113,151,142,169,201,240,337,366
  └─ Material Cost %,,,0.00%,0.00%,0.00%,22.49%,25.51%,23.96%,23.58%,23.89%,23.65%
    └─ Raw material cost,0,0,0,0,0,43,59,61,72,100,105
    └─ Change in inventory,0,0,0,0,0,1,-1,1,-1,-2,1
  └─ Manufacturing Cost %,,,110.34%,48.49%,41.41%,10.19%,12.86%,11.38%,12.25%,10.50%,9.11%
  └─ Employee Cost %,,,200.82%,49.28%,38.21%,14.15%,13.55%,17.96%,16.76%,16.07%,16.58%
  └─ Other Cost %,,,117.04%,47.37%,40.78%,26.12%,21.69%,24.43%,26.49%,31.58%,32.09%
Operating Profit,-32,-40,-60,-35,-26,53,60,57,64,74,84
OPM %,,,-328%,-45%,-20%,27%,26%,22%,21%,18%,19%
Other Income,42,50,56,56,62,3,3,5,2,4,8
  └─ Exceptional items,-0.13,0.00,-0.04,-0.10,-0.06,-0.07,-0.05,1.33,0.20,0.06,-0.01
  └─ Other income normal,42.08,50.41,55.66,55.70,61.81,3.09,2.93,3.67,1.83,4.16,8.30
Interest,0,1,13,21,19,21,28,27,22,20,14
Depreciation,0,0,6,8,9,9,9,10,10,14,13
Profit before tax,9,9,-23,-8,9,26,27,25,34,44,65
Tax %,37%,46%,7%,76%,76%,38%,34%,32%,28%,24%,30%
Net Profit,6,5,-25,-14,2,16,17,17,24,34,46
  └─ Minority share,0.00,0.12,4.44,2.60,1.62,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Exceptional items AT,-0.08,0.00,-0.03,-0.03,-0.01,-0.04,-0.03,0.90,0.14,0.04,-0.01
  └─ Profit excl Excep,5.99,4.90,-24.61,-14.03,2.11,15.97,17.50,16.21,24.12,33.49,45.52
  └─ Profit for PE,5.99,5.02,-20.18,-11.44,3.73,15.97,17.50,16.21,24.12,33.49,45.52
  └─ Profit for EPS,5.91,5.02,-20.20,-11.46,3.72,15.93,17.47,17.11,24.26,33.53,45.51
  └─ Profit Growth %,,-16.19%,-501.90%,43.32%,132.62%,328.15%,9.58%,-7.37%,48.80%,38.85%,35.92%
EPS in Rs,0.45,0.38,-1.53,-0.87,0.28,1.20,1.32,1.29,1.83,2.53,3.44
Dividend Payout %,0%,0%,-10%,-23%,89%,8%,38%,39%,27%,20%,15%
