Metric,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Jun 201115m,Jun 2012,Jun 2013,Mar 20149m,Jun 2011,Mar 2014
Sales,132,141,125,109,88,123,107,104,91,,
  └─ Sales Growth %,,7.27%,-11.33%,-13.18%,-19.09%,,-13.18%,-2.48%,,39.34%,-14.72%
Expenses,120,126,112,107,96,118,104,116,92,,
  └─ Material Cost %,47.88%,47.20%,43.00%,53.24%,51.72%,,46.60%,55.08%,,50.89%,46.69%
    └─ Raw material cost,65.57,71.56,63.00,55.93,41.41,,46.05,54.46,,55.88,41.61
    └─ Change in inventory,-2.42,-4.79,-9.06,2.05,4.17,,3.63,2.81,,6.61,0.84
  └─ Manufacturing Cost %,20.51%,20.82%,21.11%,21.15%,19.79%,,24.50%,24.11%,,0.00%,19.32%
  └─ Employee Cost %,15.19%,14.07%,15.51%,14.78%,16.11%,,16.56%,18.42%,,0.00%,16.58%
  └─ Other Cost %,7.36%,7.10%,9.96%,8.79%,21.41%,,10.35%,13.49%,,44.82%,18.55%
Operating Profit,12,15,13,2,-8,5,2,-12,-1,,
OPM %,9%,11%,10%,2%,-9%,4%,2%,-11%,-1%,,
Other Income,3,3,6,2,20,4,14,1,1,,
  └─ Exceptional items,1.27,1.47,2.33,0.73,9.55,,14.38,0.24,,0.00,0.00
  └─ Other income normal,1.35,1.54,4.03,1.37,10.00,,0.00,0.82,,3.53,0.90
Interest,5,7,8,17,8,9,13,15,3,,
Depreciation,3,3,5,7,8,10,9,9,8,,
Profit before tax,7,8,6,-19,-4,-10,-5,-34,-11,,
Tax %,11%,19%,21%,1%,1%,0%,15%,0%,0%,,
Net Profit,6,7,5,-19,-4,-10,-6,-34,-11,,
  └─ Minority share,-0.04,0.00,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00
  └─ Exceptional items AT,1.16,1.23,1.91,0.73,9.55,,14.38,0.24,,0.00,0.00
  └─ Profit excl Excep,5.30,5.52,3.07,-19.79,-13.65,,-20.34,-34.33,,-9.99,-10.61
  └─ Profit for PE,5.27,5.52,3.07,-19.79,-13.65,,-20.34,-34.33,,-9.99,-10.61
  └─ Profit for EPS,6.42,6.75,4.98,-19.06,-4.10,,-5.96,-34.09,,-9.99,-10.61
  └─ Profit Growth %,,4.80%,-44.38%,-744.63%,31.03%,,-103.60%,-68.78%,,26.81%,47.84%
EPS in Rs,,3.17,2.31,-8.82,-1.90,-4.92,-2.93,-16.77,-5.22,,
Dividend Payout %,17%,18%,24%,0%,0%,0%,0%,0%,0%,,
