Metric,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,48,68,90,132,251,346
  └─ Sales Growth %,,43.57%,31.96%,45.98%,90.80%,37.80%
Expenses,43,59,76,113,218,313
  └─ Material Cost %,61%,57%,57%,60%,66%,75%
    └─ Raw material cost,29,39,51,80,165,258
  └─ Manufacturing Cost %,4%,4%,4%,6%,5%,0%
  └─ Employee Cost %,18%,19%,16%,14%,9%,8%
  └─ Other Cost %,7%,6%,7%,5%,7%,7%
Operating Profit,5,10,15,19,33,33
OPM %,10%,14%,16%,14%,13%,10%
Other Income,0,0,2,4,5,3
  └─ Exceptional items,0.00,0.00,0.17,-0.02,0.00,0.00
  └─ Other income normal,0.47,0.37,1.47,3.87,5.41,2.95
Interest,0,1,1,4,5,7
Depreciation,1,3,3,4,5,6
Profit before tax,3,6,12,15,28,24
Tax %,30%,25%,28%,26%,25%,22%
Net Profit,2,5,9,11,21,19
  └─ Exceptional items AT,0.00,0.00,0.12,-0.01,0.00,0.00
  └─ Profit excl Excep,2.28,4.65,8.53,10.82,20.77,18.76
  └─ Profit for PE,2.28,4.65,8.53,10.82,20.77,18.76
  └─ Profit for EPS,2.28,4.65,8.65,10.81,20.77,18.76
  └─ Profit Growth %,,103.95%,83.44%,26.85%,91.96%,-9.68%
EPS in Rs,30.40,62.00,115.33,6.04,8.55,7.72
Dividend Payout %,0%,0%,1%,17%,0%,0%
