Metric,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,1498,1713,1789,1808,2255
  └─ Sales Growth %,,14.40%,4.43%,1.04%,24.78%
Expenses,1437,1608,1657,1637,2037
  └─ Material Cost %,75%,74%,73%,73%,73%
    └─ Raw material cost,1141,1291,1337,1307,1652
    └─ Change in inventory,-19,-15,-24,6,4
  └─ Manufacturing Cost %,5%,4%,7%,7%,0%
  └─ Employee Cost %,8%,8%,8%,9%,7%
  └─ Other Cost %,9%,7%,4%,2%,9%
Operating Profit,60,105,132,171,219
OPM %,4%,6%,7%,9%,10%
Other Income,23,20,18,16,19
  └─ Exceptional items,0.54,1.28,0.77,1.06,-9.50
  └─ Other income normal,21.97,18.87,16.81,14.77,28.53
Interest,16,20,22,23,19
Depreciation,36,39,43,45,46
Profit before tax,31,66,84,119,173
Tax %,27%,26%,26%,26%,24%
Net Profit,22,48,63,88,131
  └─ Minority share,-0,-0,-0,-0,-0
  └─ Exceptional items AT,0,1,1,1,-7
  └─ Profit excl Excep,22,48,62,87,138
  └─ Profit for PE,22,48,62,87,138
  └─ Profit for EPS,22,48,63,88,131
  └─ Profit Growth %,,116%,30%,41%,58%
EPS in Rs,3.94,8.52,11.00,15.50,22.97
Dividend Payout %,22%,45%,0%,29%,0%
