Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,2942,2852,2381,3530,4414,5117,5168,5506
  └─ Sales Growth %,,-3.06%,-16.52%,48.24%,25.06%,15.93%,1.00%,6.52%
Expenses,2437,2382,1995,2884,3593,4176,4234,4653
  └─ Material Cost %,11.71%,12.90%,14.21%,19.51%,15.46%,17.50%,17.41%,17.57%
    └─ Raw material cost,345,368,338,689,682,895,900,967
  └─ Manufacturing Cost %,14.42%,12.25%,11.51%,4.17%,4.86%,13.96%,11.75%,11.90%
  └─ Employee Cost %,47.25%,49.74%,51.07%,42.86%,43.71%,46.19%,48.16%,49.72%
  └─ Other Cost %,9.46%,8.62%,7.01%,15.17%,17.37%,3.95%,4.61%,5.32%
Operating Profit,505,470,386,646,821,941,934,853
OPM %,17%,16%,16%,18%,19%,18%,18%,15%
Other Income,36,36,39,49,88,116,128,91
  └─ Exceptional items,-6,-9,1,0,0,0,0,-108
  └─ Other income normal,42,45,39,49,88,116,128,199
Interest,1,16,18,22,18,19,20,34
Depreciation,69,99,92,86,95,106,121,145
Profit before tax,471,392,315,587,796,932,921,765
Tax %,25%,36%,24%,26%,22%,27%,27%,29%
Net Profit,353,252,239,437,624,679,677,547
  └─ Exceptional items AT,-6,-5,1,0,0,0,0,-66
  └─ Profit excl Excep,359,257,239,437,624,679,677,613
  └─ Profit for PE,359,257,239,437,624,679,677,613
  └─ Profit for EPS,353,252,239,437,624,679,677,547
  └─ Profit Growth %,,-28%,-7%,83%,43%,9%,-0%,-9%
EPS in Rs,,,,,15.38,16.75,16.69,13.46
Dividend Payout %,18%,66%,0%,0%,0%,60%,70%,87%
