Metric,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,58,117,98,134,126
  └─ Sales Growth %,,102.64%,-15.82%,36.26%,-5.57%
Expenses,46,102,98,123,116
  └─ Material Cost %,66%,73%,77%,79%,77%
    └─ Raw material cost,38,86,74,107,104
    └─ Change in inventory,-0,-0,1,-2,-7
  └─ Manufacturing Cost %,9%,4%,7%,4%,0%
  └─ Employee Cost %,2%,2%,4%,4%,6%
  └─ Other Cost %,3%,8%,12%,4%,10%
Operating Profit,12,15,0,11,10
OPM %,20%,13%,0%,8%,8%
Other Income,0,0,3,2,1
  └─ Exceptional items,-0.12,-0.01,0.51,0.00,0.00
  └─ Other income normal,0.26,0.14,2.82,2.08,1.17
Interest,0,1,1,2,3
Depreciation,1,2,3,5,6
Profit before tax,11,11,-0,6,2
Tax %,26%,30%,269%,35%,51%
Net Profit,8,8,-1,4,1
  └─ Exceptional items AT,-0,-0,-1,-0,-0
  └─ Profit excl Excep,8,8,-1,4,1
  └─ Profit for PE,8,8,-1,4,1
  └─ Profit for EPS,8,8,-1,4,1
  └─ Profit Growth %,,1%,-108%,734%,-75%
EPS in Rs,11.75,3.36,-0.54,1.70,0.43
Dividend Payout %,0%,15%,-92%,0%,0%
