Metric,Mar 201518m,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Mar 2015
Sales,-9,12,20,24,47,74,44,46,47,67,89,137,
  └─ Sales Growth %,,-227%,65%,21%,99%,59%,-41%,5%,2%,43%,34%,54%,-75%
Expenses,8,4,-35,8,30,62,33,26,32,42,47,115,
  └─ Manufacturing Cost %,,0.59%,0.56%,1.57%,15.79%,26.02%,20.31%,3.19%,17.37%,17.98%,10.99%,0.00%,
  └─ Employee Cost %,,13.15%,7.37%,16.99%,37.94%,25.75%,44.05%,43.27%,39.52%,35.53%,32.06%,46.16%,
  └─ Other Cost %,,17.88%,-189.14%,14.40%,10.08%,31.98%,11.18%,9.89%,10.78%,9.72%,9.70%,38.15%,
Operating Profit,-17,8,55,16,17,12,11,20,15,24,42,21,
OPM %,,68%,281%,67%,36%,16%,24%,44%,32%,37%,47%,16%,
Other Income,6,8,-35,2,-0,-0,2,3,2,0,4,-10,
  └─ Exceptional items,,-3.84,10.50,1.05,-0.06,-0.16,0.00,2.77,1.62,0.00,3.68,-11.78,1.18
  └─ Other income normal,,11.42,-45.92,0.49,0.00,0.01,1.65,0.00,0.20,0.00,0.42,1.28,4.35
Interest,3,0,0,0,0,0,0,0,1,0,0,1,
Depreciation,1,1,0,0,0,1,1,1,1,1,1,3,
Profit before tax,-15,15,19,17,16,11,11,21,15,23,45,7,
Tax %,1%,4%,31%,17%,23%,27%,23%,21%,26%,21%,14%,-117%,
Net Profit,-15,14,13,14,13,8,8,17,11,19,38,13,
  └─ Profit from Associates,,0,0,0,0,0,0,0,0,0,-0,-1,0
  └─ Minority share,,0,0,0,0,0,0,0,0,0,0,0,0
  └─ Exceptional items AT,,-4,7,1,-0,-0,0,2,1,0,3,4,1
  └─ Profit excl Excep,,18,6,13,13,8,8,15,10,19,35,9,-16
  └─ Profit for PE,,18,6,13,13,8,8,15,10,19,35,9,-16
  └─ Profit for EPS,,14,13,14,13,8,8,17,11,19,38,13,-15
  └─ Profit Growth %,,209%,-66%,120%,-6%,-37%,2%,80%,-33%,87%,91%,-73%,81%
EPS in Rs,-5.75,5.36,5.06,5.39,4.76,2.98,3.10,5.45,3.46,5.58,11.39,3.88,
Dividend Payout %,0%,0%,0%,0%,0%,0%,145%,41%,14%,18%,13%,0%,
