Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,18580,23021,28497,35756,14641,25931,54446,68904,80803,84962
  └─ Sales Growth %,,23.90%,23.79%,25.47%,-59.05%,77.12%,109.97%,26.55%,17.27%,5.15%
Expenses,16362,19991,28646,31666,14626,25356,47915,52548,62701,72978
  └─ Material Cost %,0.66%,0.54%,0.49%,0.50%,0.38%,0.45%,0.53%,0.50%,0.47%,0.58%
    └─ Raw material cost,124,124,140,181,54,118,287,337,383,496
    └─ Change in inventory,-0,1,-1,-3,1,-2,-1,5,-0,-1
  └─ Manufacturing Cost %,69.58%,69.23%,80.32%,64.19%,73.15%,74.33%,69.55%,61.67%,61.98%,29.88%
  └─ Employee Cost %,11.02%,10.67%,11.27%,13.18%,22.52%,13.45%,8.81%,9.38%,9.25%,9.74%
  └─ Other Cost %,6.79%,6.39%,8.45%,10.70%,3.85%,9.55%,9.12%,4.71%,5.89%,45.69%
Operating Profit,2219,3030,-149,4090,14,575,6531,16356,18102,11983
OPM %,12%,13%,-1%,11%,0%,2%,12%,24%,22%,14%
Other Income,789,947,1325,1531,1037,726,1435,2327,3295,2755
  └─ Exceptional items,179,377,384,648,438,235,462,1001,1493,-1796
  └─ Other income normal,610,570,940,883,599,490,973,1326,1802,4552
Interest,406,413,563,1902,2170,2386,3168,4208,5124,5891
Depreciation,457,437,760,3974,4699,5069,5103,6426,8680,10808
Profit before tax,2144,3127,-147,-256,-5818,-6154,-304,8049,7593,-1960
Tax %,23%,28%,-207%,-9%,-0%,0%,0%,-2%,4%,22%
Net Profit,1659,2242,157,-234,-5806,-6162,-306,8172,7258,-2394
  └─ Minority share,0,0,0,0,0,0,0,0,0,2
  └─ Exceptional items AT,138,269,383,639,438,235,460,1001,1427,-1400
  └─ Profit excl Excep,1521,1973,-226,-872,-6244,-6397,-766,7172,5831,-994
  └─ Profit for PE,1521,1973,-226,-872,-6244,-6397,-766,7172,5831,-993
  └─ Profit for EPS,1659,2242,157,-234,-5806,-6162,-306,8172,7258,-2392
  └─ Profit Growth %,,30%,-111%,-287%,-616%,-2%,88%,1036%,-19%,-117%
EPS in Rs,45.90,58.33,4.09,-6.07,-150.85,-159.94,-7.93,211.73,187.84,-61.87
Dividend Payout %,74%,10%,122%,-0%,-0%,-0%,-0%,-0%,5%,-0%
