Metric,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,Dec 2022,Dec 2023,Dec 2024,Dec 2025,TTM
Sales,2582,3124,3535,3942,4648,5583,6262,7178,9200,10380,11974,13430,13836
  └─ Sales Growth %,12.97%,20.99%,13.17%,11.52%,17.90%,20.11%,12.17%,14.62%,28.17%,12.83%,15.36%,12.16%,
Expenses,2134,2579,2958,3286,3911,4701,5212,6042,7974,8809,10139,11514,11881
  └─ Manufacturing Cost %,18%,20%,20%,21%,24%,20%,2%,20%,5%,5%,6%,6%,
  └─ Employee Cost %,57%,57%,56%,55%,53%,54%,59%,59%,60%,59%,58%,58%,
  └─ Other Cost %,8%,6%,7%,7%,7%,10%,23%,5%,21%,21%,21%,21%,
Operating Profit,448,545,577,656,736,881,1050,1136,1226,1572,1835,1917,1954
OPM %,17%,17%,16%,17%,16%,16%,17%,16%,13%,15%,15%,14%,14%
Other Income,16,9,40,49,58,12,35,67,179,22,75,277,294
  └─ Exceptional items,-7,0,0,0,-0,-17,0,4,3,9,-0,-110,
  └─ Other income normal,23,9,39,49,58,29,34,63,176,14,75,388,
Interest,2,1,1,2,3,10,52,38,38,42,71,106,107
Depreciation,44,48,55,63,65,103,232,224,244,284,279,361,378
Profit before tax,418,505,560,641,727,779,800,941,1123,1268,1560,1727,1763
Tax %,23%,22%,25%,22%,20%,18%,22%,20%,21%,21%,25%,21%,
Net Profit,320,393,419,500,583,641,622,749,884,998,1174,1368,1393
  └─ Profit from Associates,0,0,0,0,0,0,1,0,0,0,0,0,
  └─ Minority share,0,0,0,0,0,0,0,0,0,0,2,1,
  └─ Exceptional items AT,-5,0,0,0,-0,-14,0,3,2,7,-0,-82,
  └─ Profit excl Excep,325,393,419,499,584,655,621,746,882,991,1174,1450,
  └─ Profit for PE,325,393,419,499,584,655,621,746,882,991,1177,1451,
  └─ Profit for EPS,320,393,419,500,583,641,622,749,884,998,1176,1369,
  └─ Profit Growth %,-14%,21%,7%,19%,17%,12%,-5%,20%,18%,12%,19%,23%,
EPS in Rs,10.64,13.04,13.88,16.83,19.62,21.49,20.69,24.93,29.44,33.22,19.36,22.41,22.85
Dividend Payout %,89%,66%,40%,24%,43%,40%,17%,32%,75%,53%,45%,51%,
