Metric,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,5397,6582,7484,8291,9509
  └─ Sales Growth %,,21.97%,13.70%,10.78%,14.69%
Expenses,4642,5707,6556,7270,8355
  └─ Material Cost %,78%,79%,80%,80%,81%
    └─ Raw material cost,4215,5256,5910,6687,7676
    └─ Change in inventory,-17,-50,60,-40,4
  └─ Manufacturing Cost %,2%,2%,2%,2%,0%
  └─ Employee Cost %,4%,4%,4%,4%,4%
  └─ Other Cost %,2%,2%,2%,2%,4%
Operating Profit,755,875,928,1021,1154
OPM %,14%,13%,12%,12%,12%
Other Income,14,38,59,62,105
  └─ Exceptional items,0,4,18,1,-5
  └─ Other income normal,14,34,41,61,110
Interest,216,250,290,307,232
Depreciation,246,307,321,330,361
Profit before tax,307,357,376,446,666
Tax %,15%,12%,17%,20%,25%
Net Profit,262,314,314,355,497
  └─ Exceptional items AT,0,4,14,1,-4
  └─ Profit excl Excep,262,310,300,355,501
  └─ Profit for PE,262,310,300,355,501
  └─ Profit for EPS,262,314,314,355,497
  └─ Profit Growth %,,18%,-3%,18%,41%
EPS in Rs,,,4.82,5.46,5.58
Dividend Payout %,0%,0%,0%,10%,10%
