Metric,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018
Sales,88,110,130,175,222,297,334,402,465,531,592
  └─ Sales Growth %,,26.07%,17.86%,34.33%,27.27%,33.62%,12.43%,20.22%,15.86%,14.13%,11.54%
Expenses,73,91,104,138,178,226,261,307,373,406,463
  └─ Material Cost %,33.24%,33.92%,32.32%,32.96%,33.09%,30.88%,31.68%,30.48%,30.93%,30.08%,29.05%
    └─ Raw material cost,30,37,43,58,74,93,106,122,67,160,172
    └─ Change in inventory,-1,0,-1,-1,-1,-1,-0,1,77,0,0
  └─ Manufacturing Cost %,33.14%,32.52%,31.38%,29.72%,28.63%,26.05%,27.34%,26.99%,28.51%,26.24%,27.98%
  └─ Employee Cost %,11.61%,12.20%,13.09%,13.01%,14.62%,16.39%,15.78%,16.09%,17.06%,16.53%,16.58%
  └─ Other Cost %,5.36%,4.14%,3.44%,3.24%,3.79%,2.80%,3.26%,2.88%,3.70%,3.62%,4.59%
Operating Profit,15,19,26,37,44,71,73,95,92,125,129
OPM %,17%,17%,20%,21%,20%,24%,22%,24%,20%,24%,22%
Other Income,1,1,2,1,1,3,5,7,8,6,8
  └─ Exceptional items,0.00,0.01,0.00,0.05,0.00,0.00,0.00,0.02,0.13,0.11,0.09
  └─ Other income normal,0.72,0.87,1.56,0.88,1.26,2.84,4.51,6.58,7.48,5.93,7.43
Interest,3,4,5,11,17,27,24,20,17,15,13
Depreciation,5,4,5,7,13,16,16,22,21,24,34
Profit before tax,7,11,17,20,16,31,37,59,62,92,89
Tax %,41%,35%,33%,38%,26%,33%,36%,35%,35%,35%,35%
Net Profit,4,7,12,12,12,20,24,39,41,60,58
  └─ Exceptional items AT,0,0,0,0,0,0,0,0,0,0,0
  └─ Profit excl Excep,4,7,12,12,12,20,24,39,41,60,58
  └─ Profit for PE,4,7,12,12,12,20,24,39,41,60,58
  └─ Profit for EPS,4,7,12,12,12,20,24,39,41,60,58
  └─ Profit Growth %,,69%,63%,4%,-1%,71%,16%,62%,5%,48%,-3%
EPS in Rs,3.85,6.53,10.60,11.06,10.91,18.67,21.72,35.21,37.12,54.89,52.99
Dividend Payout %,32%,19%,12%,11%,11%,8%,7%,4%,7%,5%,6%
