Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,1113.30,961.92,550.26,431.96,223.09,185.45,113.95,127.14,177.10,139.96,120.73,85.03
  └─ Sales Growth %,-4.24%,-13.60%,-42.80%,-21.50%,-48.35%,-16.87%,-38.55%,11.58%,39.30%,-20.97%,-13.74%,-29.57%
Expenses,1197.13,946.16,584.87,575.02,314.15,339.47,151.40,131.01,118.62,104.29,91.27,76.30
  └─ Material Cost %,61%,62%,61%,65%,40%,27%,24%,25%,9%,11%,3%,7%
    └─ Raw material cost,724.35,578.78,322.71,251.46,78.59,42.96,20.66,14.01,10.63,15.97,3.80,9.34
    └─ Change in inventory,-47.11,18.55,12.08,29.24,10.10,6.47,6.31,17.47,5.96,-0.13,0.22,-3.12
  └─ Manufacturing Cost %,17%,15%,20%,23%,33%,46%,45%,23%,12%,14%,12%,0%
  └─ Employee Cost %,10%,12%,11%,16%,20%,28%,45%,28%,34%,45%,51%,67%
  └─ Other Cost %,19%,10%,14%,30%,48%,82%,20%,27%,11%,5%,10%,15%
Operating Profit,-83.83,15.76,-34.61,-143.06,-91.06,-154.02,-37.45,-3.87,58.48,35.67,29.46,8.73
OPM %,-7.53%,1.64%,-6.29%,-33.12%,-40.82%,-83.05%,-32.87%,-3.04%,33.02%,25.49%,24.40%,10.27%
Other Income,101.16,11.52,42.68,44.86,120.48,9.75,-14.89,13.85,50.18,17.11,18.05,4.53
  └─ Exceptional items,44.24,-0.55,4.48,-0.30,37.19,0.02,-19.31,-6.95,3.63,0.69,6.05,-11.39
  └─ Other income normal,56.92,12.07,38.20,45.16,83.29,9.73,4.42,20.80,46.55,16.42,12.00,15.92
Interest,58.04,56.51,47.76,48.95,60.88,37.43,38.00,30.62,24.75,13.86,14.06,14.82
Depreciation,13.75,9.65,5.53,4.99,3.39,3.30,2.74,2.42,2.01,2.24,2.52,2.91
Profit before tax,-54.46,-38.88,-45.22,-152.14,-34.85,-185.00,-93.08,-23.06,81.90,36.68,30.93,-4.47
Tax %,15.77%,5.32%,-46.70%,-11.84%,0.03%,0.02%,0.03%,-0.04%,-8.16%,5.67%,16.62%,0.00%
Net Profit,-63.04,-40.95,-24.10,-134.11,-34.86,-185.03,-93.11,-23.04,88.58,34.60,25.79,-4.47
  └─ Minority share,-2,0,0,0,0,0,0,0,0,0,0,0
  └─ Exceptional items AT,44,-1,4,-0,37,0,8,0,3,5,6,-11
  └─ Profit excl Excep,-107,-40,-28,-134,-72,-185,-101,-23,86,29,20,7
  └─ Profit for PE,-109,-40,-28,-134,-71,-185,-101,-23,86,29,20,7
  └─ Profit for EPS,-65,-41,-24,-134,-35,-185,-93,-23,89,35,26,-4
  └─ Profit Growth %,-91%,63%,29%,-370%,47%,-159%,45%,77%,473%,-66%,-32%,-65%
EPS in Rs,-59.05,-37.15,-21.90,-121.87,-31.41,-168.14,-84.61,-20.94,80.50,31.44,23.44,-4.06
Dividend Payout %,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
