Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Revenue,126,201,325,500,640,815,1093,1365,1750,2192
  └─ Sales Growth %,,58.90%,62.04%,53.87%,27.83%,27.38%,34.21%,24.86%,28.22%,25.24%
Interest,36,53,115,185,207,209,277,389,542,648
Expenses,32,47,67,86,101,144,196,218,270,373
  └─ Manufacturing Cost %,0.26%,0.17%,0.14%,0.23%,0.20%,0.19%,0.30%,0.07%,0.08%,0.00%
  └─ Employee Cost %,18.23%,17.52%,15.39%,13.03%,11.29%,10.48%,11.20%,10.99%,10.20%,10.51%
  └─ Other Cost %,7.09%,5.78%,5.14%,3.90%,4.23%,7.05%,6.42%,4.89%,5.14%,6.48%
Financing Profit,58,101,143,230,332,461,621,758,939,1171
Financing Margin %,46%,50%,44%,46%,52%,57%,57%,56%,54%,53%
Other Income,0,3,13,23,19,26,40,44,48,53
  └─ Other income normal,0,3,13,23,19,26,40,44,48,53
Depreciation,2,2,3,6,6,7,7,9,12,13
Profit before tax,56,101,153,247,345,480,654,793,975,1211
Tax %,34%,34%,27%,15%,23%,23%,23%,23%,23%,22%
Net Profit,37,67,112,211,267,370,503,612,751,943
  └─ Profit excl Excep,37,67,112,211,267,370,503,612,751,943
  └─ Profit for PE,37,67,112,211,267,370,503,612,751,943
  └─ Profit for EPS,37,67,112,211,267,370,503,612,751,943
  └─ Profit Growth %,,79%,67%,89%,27%,39%,36%,22%,23%,26%
EPS in Rs,4.73,8.49,14.18,22.74,28.77,7.45,10.10,12.26,15.03,18.83
Dividend Payout %,0%,0%,0%,0%,0%,0%,20%,37%,30%,24%
