Metric,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,40972,47378,60308,69829,69193,70763
  └─ Sales Growth %,,15.64%,27.29%,15.79%,-0.91%,2.27%
Expenses,36724,41887,52753,60750,60277,62165
  └─ Material Cost %,76%,76%,75%,74%,72%,71%
    └─ Raw material cost,31225,35887,45165,51731,50148,50537
    └─ Change in inventory,105,-62,-135,-138,-177,-57
  └─ Manufacturing Cost %,2%,2%,2%,1%,1%,0%
  └─ Employee Cost %,4%,3%,3%,3%,3%,4%
  └─ Other Cost %,8%,8%,8%,9%,10%,13%
Operating Profit,4249,5491,7554,9079,8915,8598
OPM %,10%,12%,13%,13%,13%,12%
Other Income,430,582,1124,1527,908,949
  └─ Exceptional items,-3,-5,-5,7,-1,0
  └─ Other income normal,432,587,1129,1520,910,949
Interest,165,132,142,158,127,106
Depreciation,1973,2170,2190,2208,2105,2198
Profit before tax,2540,3772,6346,8240,7591,7243
Tax %,26%,23%,26%,26%,26%,25%
Net Profit,1881,2902,4709,6060,5640,5432
  └─ Exceptional items AT,-2,-4,-4,5,-1,0
  └─ Profit excl Excep,1883,2905,4713,6055,5641,5432
  └─ Profit for PE,1883,2905,4713,6055,5641,5432
  └─ Profit for EPS,1881,2902,4709,6060,5640,5432
  └─ Profit Growth %,,54%,62%,28%,-7%,-4%
EPS in Rs,,,,,69.41,66.85
Dividend Payout %,72%,51%,99%,18%,30%,31%
