Metric,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales,80,82,106,142,141,161,163,198,322,299,354,367,371
  └─ Sales Growth %,-0.30%,3.09%,29.26%,33.62%,-0.32%,14.17%,1.32%,21.54%,,-7.21%,18.24%,3.69%,
Expenses,54,56,77,104,120,137,159,185,253,254,301,329,333
  └─ Material Cost %,1.99%,2.78%,0.21%,1.99%,4.16%,4.59%,11.93%,17.07%,25.67%,24.62%,26.94%,33.19%,
    └─ Raw material cost,2,1,1,3,7,10,20,36,83,68,93,115,
    └─ Change in inventory,-0,1,-1,-1,-1,-3,-0,-2,-1,6,2,7,
  └─ Manufacturing Cost %,17.22%,15.26%,15.99%,16.58%,17.94%,15.76%,15.78%,13.66%,8.79%,9.35%,9.44%,8.51%,
  └─ Employee Cost %,36.25%,38.07%,42.02%,38.92%,45.79%,48.90%,53.33%,47.44%,35.98%,41.75%,39.39%,38.95%,
  └─ Other Cost %,12.62%,12.69%,14.24%,15.98%,17.40%,16.01%,16.68%,15.06%,8.05%,9.21%,9.27%,8.95%,
Operating Profit,25,26,29,38,21,24,4,13,69,45,53,38,39
OPM %,32%,31%,28%,27%,15%,15%,2%,7%,22%,15%,15%,10%,10%
Other Income,1,-0,15,4,3,5,3,2,-0,11,4,5,6
  └─ Exceptional items,0.03,-1.15,14.43,3.83,1.77,3.29,2.15,0.13,-2.01,6.85,-0.09,-0.48,
  └─ Other income normal,0.72,0.85,0.92,0.40,0.74,1.44,0.92,1.69,2.00,4.00,3.93,5.65,
Interest,1,1,2,9,8,7,6,7,16,10,12,14,15
Depreciation,2,2,3,4,10,10,9,10,12,12,14,14,14
Profit before tax,23,23,39,29,6,12,-8,-2,41,33,31,15,16
Tax %,21%,18%,22%,29%,29%,21%,-83%,-115%,20%,10%,11%,17%,
Net Profit,18,19,30,20,4,10,-1,0,33,30,28,13,14
  └─ Minority share,0,0,0,0,0,0,0,0,0,0,0,0,
  └─ Exceptional items AT,0,-1,11,3,1,2,2,0,-2,6,-0,-0,
  └─ Profit excl Excep,18,20,19,18,3,7,-3,0,35,24,28,13,
  └─ Profit for PE,18,20,19,18,3,7,-3,0,35,24,28,13,
  └─ Profit for EPS,18,19,30,20,4,10,-1,0,33,30,28,13,
  └─ Profit Growth %,-5%,8%,-3%,-7%,-83%,133%,-149%,104%,,-31%,16%,-53%,
EPS in Rs,4.93,5.08,8.25,5.57,1.17,2.60,-0.36,0.07,8.97,8.18,7.33,3.38,3.67
Dividend Payout %,8%,8%,6%,9%,43%,19%,-56%,0%,3%,4%,5%,9%,
