Metric,Mar 2015,Mar 2016,Mar 2018,Mar 2019,Mar 2024,Mar 2025,TTM
Sales,-0.00,0.09,1.75,1.91,17.11,14.79,16.70
  └─ Sales Growth %,,,,9.14%,,-13.56%,
Expenses,0.29,0.29,1.76,2.11,9.87,4.94,7.05
  └─ Material Cost %,,88.89%,83.43%,89.01%,32.50%,0.00%,
    └─ Raw material cost,0.00,0.08,1.46,1.70,5.53,0.00,
    └─ Change in inventory,0.00,0.00,0.00,0.00,0.03,0.00,
  └─ Manufacturing Cost %,,33.33%,0.00%,0.52%,7.48%,8.05%,
  └─ Employee Cost %,,144.44%,6.29%,7.33%,15.55%,21.43%,
  └─ Other Cost %,,55.56%,10.86%,13.61%,2.16%,3.92%,
Operating Profit,-0.29,-0.20,-0.01,-0.20,7.24,9.85,9.65
OPM %,,-222.22%,-0.57%,-10.47%,42.31%,66.60%,57.78%
Other Income,0.67,0.29,0.11,3.06,1.50,2.88,3.49
  └─ Exceptional items,0.53,0.00,0.00,2.81,0.00,0.25,
  └─ Other income normal,0.14,0.29,0.11,0.25,1.50,2.63,
Interest,-0.00,-0.00,-0.00,-0.00,0.05,0.07,0.13
Depreciation,0.16,0.08,0.03,0.02,0.06,0.14,0.21
Profit before tax,0.22,0.01,0.07,2.84,8.63,12.52,12.80
Tax %,31.82%,-0.00%,-114.29%,2.46%,25.96%,23.88%,
Net Profit,0.34,1.91,0.15,2.77,6.39,9.52,9.38
  └─ Profit from Associates,0.19,1.91,0.00,0.00,0.00,0.00,
  └─ Minority share,0.00,0.00,0.00,0.00,0.00,0.09,
  └─ Exceptional items AT,0.45,0.00,0.00,2.23,0.00,0.19,
  └─ Profit excl Excep,-0.11,1.91,0.15,0.54,6.39,9.33,
  └─ Profit for PE,-0.11,1.91,0.15,0.54,6.39,9.42,
  └─ Profit for EPS,0.34,1.91,0.15,2.77,6.39,9.61,
  └─ Profit Growth %,,1836.36%,,260.00%,,47.42%,
EPS in Rs,,,,,1.05,1.58,1.57
Dividend Payout %,-0.00%,-0.00%,-0.00%,-0.00%,47.69%,38.05%,
