Metric,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,85.70,83.32,92.73,86.26,54.29,43.73,66.48,90.23,77.43,32.56,35.12,0.00,2.95
  └─ Sales Growth %,2%,-3%,11%,-7%,-37%,-19%,52%,36%,-14%,-58%,8%,-100%,
Expenses,65.09,197.17,81.38,157.17,63.54,46.04,23.21,54.89,98.75,24.30,13.28,3.31,3.08
  └─ Manufacturing Cost %,37.40%,44.72%,46.11%,51.38%,92.67%,93.87%,67.76%,52.55%,63.30%,63.21%,27.99%,,
  └─ Employee Cost %,22.73%,31.51%,33.26%,33.03%,4.20%,4.30%,2.65%,2.53%,1.51%,2.98%,2.31%,,
  └─ Other Cost %,15.82%,160.42%,8.39%,97.80%,20.17%,7.11%,-35.50%,5.75%,62.73%,8.45%,7.52%,,
Operating Profit,20.61,-113.85,11.35,-70.91,-9.25,-2.31,43.27,35.34,-21.32,8.26,21.84,-3.31,-0.13
OPM %,24.05%,-136.64%,12.24%,-82.20%,-17.04%,-5.28%,65.09%,39.17%,-27.53%,25.37%,62.19%,,-4.41%
Other Income,-96.07,20.77,37.12,16.08,-138.11,-27.82,3.56,-68.05,8.63,19.53,34.56,2.97,6.08
  └─ Exceptional items,-102.35,8.63,34.17,6.02,-145.27,-34.14,-0.53,-72.38,2.59,13.81,0.00,0.00,
  └─ Other income normal,6.28,12.14,2.95,10.06,7.16,6.32,4.09,4.33,6.04,5.72,34.56,2.97,
Interest,6.94,10.45,11.72,10.59,10.90,13.68,15.14,26.96,30.74,10.34,4.95,1.12,1.07
Depreciation,34.78,38.45,46.93,44.41,38.73,29.81,30.09,32.03,22.37,9.43,4.99,0.50,0.46
Profit before tax,-117.18,-141.98,-10.18,-109.83,-196.99,-73.62,1.60,-91.70,-65.80,8.02,46.46,-1.96,4.42
Tax %,-9.67%,-2.48%,-29.57%,-3.70%,-1.87%,-1.14%,-154.38%,-1.01%,2.29%,56.36%,-1.89%,-40.82%,
Net Profit,-105.85,-138.46,-7.17,-105.77,-193.30,-72.77,4.07,-90.77,-67.31,3.50,47.34,-1.16,4.35
  └─ Exceptional items AT,-100,9,34,6,-145,-34,-1,-72,3,9,0,0,
  └─ Profit excl Excep,-6,-147,-41,-112,-48,-39,5,-18,-70,-6,47,-1,
  └─ Profit for PE,-6,-147,-41,-112,-48,-39,5,-18,-70,-6,47,-1,
  └─ Profit for EPS,-106,-138,-7,-106,-193,-73,4,-91,-67,4,47,-1,
  └─ Profit Growth %,-124%,-2257%,72%,-170%,57%,20%,112%,-500%,-280%,92%,912%,-102%,
EPS in Rs,-29.15,-38.13,-1.97,-29.13,-53.24,-20.04,1.12,-25.00,-18.54,0.96,13.04,-0.32,1.20
Dividend Payout %,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,
