Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,695,726,760,870,1217,1465,1695,2192
  └─ Sales Growth %,,4.37%,4.74%,14.44%,39.97%,20.38%,15.66%,29.38%
Expenses,520,558,593,743,1048,1178,1285,1561
  └─ Material Cost %,27.16%,27.87%,28.79%,29.83%,34.72%,30.42%,27.49%,26.04%
    └─ Raw material cost,188,208,235,262,427,423,461,578
    └─ Change in inventory,1,-6,-16,-3,-5,22,5,-7
  └─ Manufacturing Cost %,10.38%,10.46%,10.29%,13.09%,11.19%,9.45%,8.71%,0.00%
  └─ Employee Cost %,29.57%,29.47%,30.48%,34.59%,34.28%,33.78%,32.40%,31.15%
  └─ Other Cost %,7.63%,9.09%,8.42%,7.98%,5.88%,6.75%,7.22%,14.02%
Operating Profit,176,168,167,126,169,287,410,631
OPM %,25%,23%,22%,15%,14%,20%,24%,29%
Other Income,6,18,27,28,27,29,35,41
  └─ Exceptional items,0.03,0.00,0.00,11.31,-0.57,0.01,-1.81,-8.00
  └─ Other income normal,5.60,17.84,27.29,16.84,27.97,29.08,36.78,49.13
Interest,24,22,33,54,81,88,78,39
Depreciation,44,55,80,90,99,119,139,167
Profit before tax,113,109,82,10,16,109,228,466
Tax %,35%,30%,25%,36%,39%,24%,25%,25%
Net Profit,73,76,61,6,10,83,170,349
  └─ Exceptional items AT,0,0,0,11,-0,0,-1,-6
  └─ Profit excl Excep,73,76,61,-5,10,83,171,355
  └─ Profit for PE,73,76,61,-5,10,83,171,355
  └─ Profit for EPS,73,76,61,6,10,83,170,349
  └─ Profit Growth %,,4%,-20%,-108%,301%,711%,107%,107%
EPS in Rs,,,,,,,8.16,16.48
Dividend Payout %,0%,0%,0%,1117%,676%,0%,0%,0%
