Metric,Mar 2014,Mar 2015,Mar 2016
Sales,1025,1123,565
  └─ Sales Growth %,,9.54%,-49.73%
Expenses,957,1055,606
  └─ Material Cost %,89%,89%,102%
    └─ Raw material cost,946,1060,504
    └─ Change in inventory,-37,-60,72
  └─ Manufacturing Cost %,2%,2%,1%
  └─ Employee Cost %,1%,1%,1%
  └─ Other Cost %,2%,2%,3%
Operating Profit,68,68,-41
OPM %,7%,6%,-7%
Other Income,5,2,-9
  └─ Exceptional items,1.24,-7.37,-18.39
  └─ Other income normal,4.11,9.23,9.29
Interest,35,36,29
Depreciation,8,11,8
Profit before tax,30,22,-87
Tax %,29%,33%,1%
Net Profit,21,15,-88
  └─ Exceptional items AT,1,-5,-18
  └─ Profit excl Excep,21,19,-70
  └─ Profit for PE,21,19,-70
  └─ Profit for EPS,21,15,-88
  └─ Profit Growth %,,-5%,-457%
EPS in Rs,1.22,0.84,-5.02
Dividend Payout %,8%,6%,0%
