Metric,Mar 20238m,Mar 2024,Mar 2025,Mar 2026,Mar 2023
Sales,0,1916,2283,2568,
  └─ Sales Growth %,,,19.13%,12.49%,
Expenses,3,632,731,835,
  └─ Material Cost %,,0.00%,0.00%,0.91%,
    └─ Raw material cost,,0.00,0.00,23.28,0.00
  └─ Manufacturing Cost %,,18.02%,17.46%,0.00%,
  └─ Employee Cost %,,4.16%,4.16%,4.55%,
  └─ Other Cost %,,10.81%,10.38%,27.07%,
Operating Profit,-3,1284,1552,1733,
OPM %,,67%,68%,67%,
Other Income,0,88,126,88,
  └─ Exceptional items,,53,92,0,0
  └─ Other income normal,,35,34,88,0
Interest,0,337,394,458,
Depreciation,0,520,586,620,
Profit before tax,-3,515,698,743,
Tax %,0%,-16%,31%,46%,
Net Profit,-3,599,483,403,
  └─ Exceptional items AT,,43,63,0,0
  └─ Profit excl Excep,,556,420,403,-3
  └─ Profit for PE,,556,420,403,-3
  └─ Profit for EPS,,599,483,403,-3
  └─ Profit Growth %,,18949%,-25%,-4%,
EPS in Rs,,3.95,3.19,2.66,
Dividend Payout %,0%,178%,199%,340%,
