Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,692,675,755,1153,1052,723,719,739
  └─ Sales Growth %,,-2.47%,11.84%,52.79%,-8.80%,-31.25%,-0.59%,2.78%
Expenses,511,494,549,948,888,686,666,652
  └─ Material Cost %,57%,58%,55%,66%,64%,66%,64%,59%
    └─ Raw material cost,396,389,429,785,683,477,453,444
    └─ Change in inventory,-3,4,-10,-23,-5,-1,4,-6
  └─ Manufacturing Cost %,12%,9%,10%,10%,12%,18%,18%,0%
  └─ Employee Cost %,3%,3%,4%,3%,4%,7%,6%,7%
  └─ Other Cost %,2%,3%,3%,3%,3%,4%,5%,22%
Operating Profit,181,181,205,205,164,37,53,87
OPM %,26%,27%,27%,18%,16%,5%,7%,12%
Other Income,8,6,6,7,13,6,8,13
  └─ Exceptional items,2.65,-0.01,0.00,0.03,4.96,-3.07,0.01,5.72
  └─ Other income normal,4.88,6.30,5.94,7.39,7.97,8.96,8.48,6.92
Interest,4,3,5,6,11,16,24,18
Depreciation,14,16,21,30,29,35,36,40
Profit before tax,171,168,185,176,137,-9,2,42
Tax %,29%,25%,29%,27%,25%,-3%,260%,21%
Net Profit,121,126,131,128,103,-8,-3,33
  └─ Minority share,0,-2,-16,-15,-14,0,-0,0
  └─ Exceptional items AT,2,-0,0,0,4,-2,-0,4
  └─ Profit excl Excep,119,126,131,128,99,-6,-3,29
  └─ Profit for PE,119,124,115,113,85,-6,-4,29
  └─ Profit for EPS,121,124,115,113,88,-8,-4,33
  └─ Profit Growth %,,4%,-8%,-1%,-25%,-108%,42%,881%
EPS in Rs,103.65,51.00,42.19,41.72,32.45,-3.04,-1.34,11.86
Dividend Payout %,6%,11%,12%,8%,3%,-0%,-0%,-0%
