Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,73.53,74.34,78.39,70.09,76.32,99.54,128.23,93.34,97.88,109.48,93.68
  └─ Sales Growth %,,1.10%,5.45%,-10.59%,8.89%,30.42%,28.82%,-27.21%,4.86%,11.85%,-14.43%
Expenses,53.41,57.23,70.44,64.11,68.11,77.28,101.97,79.46,83.11,93.96,84.34
  └─ Material Cost %,42.65%,37.52%,51.38%,43.64%,46.03%,43.15%,47.27%,42.13%,41.46%,44.99%,45.22%
    └─ Raw material cost,32.41,30.22,30.28,39.11,32.94,39.72,58.73,41.46,43.95,49.81,41.12
    └─ Change in inventory,-1.05,-2.33,10.00,-8.52,2.19,3.23,1.88,-2.14,-3.37,-0.55,1.24
  └─ Manufacturing Cost %,10.08%,13.02%,10.10%,13.60%,11.32%,9.36%,8.65%,11.77%,11.46%,10.65%,0.00%
  └─ Employee Cost %,10.32%,15.03%,17.99%,22.60%,22.09%,17.74%,16.38%,23.11%,23.17%,21.52%,26.36%
  └─ Other Cost %,9.59%,11.42%,10.38%,11.63%,9.80%,7.38%,7.23%,8.12%,8.82%,8.66%,18.46%
Operating Profit,20.12,17.11,7.95,5.98,8.21,22.26,26.26,13.88,14.77,15.52,9.34
OPM %,27.36%,23.02%,10.14%,8.53%,10.76%,22.36%,20.48%,14.87%,15.09%,14.18%,9.97%
Other Income,2.59,3.17,2.97,0.98,3.75,1.80,3.85,4.53,5.53,3.84,5.96
  └─ Exceptional items,0.17,2.73,1.78,-0.16,0.45,0.90,1.66,2.24,3.15,1.52,-0.94
  └─ Other income normal,2.42,0.44,1.19,1.14,3.30,0.90,2.19,2.29,2.38,2.32,6.90
Interest,1.03,1.50,1.00,1.50,2.23,1.67,1.96,1.93,2.29,2.46,2.41
Depreciation,2.21,2.95,2.74,2.72,4.62,4.58,4.74,5.46,5.15,5.92,5.64
Profit before tax,19.47,15.83,7.18,2.74,5.11,17.81,23.41,11.02,12.86,10.98,7.25
Tax %,35.18%,36.96%,24.51%,-13.14%,-10.96%,11.79%,24.13%,14.43%,20.37%,13.48%,17.38%
Net Profit,12.62,9.98,5.40,3.10,5.67,15.73,17.76,9.44,10.24,9.51,5.99
  └─ Minority share,0.00,0.26,-0.14,-0.49,-1.08,-1.82,-1.21,-0.01,0.00,0.00,0.00
  └─ Exceptional items AT,0.10,1.71,1.16,-0.15,0.43,0.80,1.32,1.67,2.53,1.25,-0.78
  └─ Profit excl Excep,12.52,8.27,4.24,3.25,5.24,14.93,16.44,7.77,7.71,8.26,6.77
  └─ Profit for PE,12.52,8.53,4.13,2.74,4.24,13.20,15.32,7.76,7.71,8.26,6.77
  └─ Profit for EPS,12.62,10.24,5.26,2.61,4.59,13.91,16.55,9.43,10.24,9.51,5.99
  └─ Profit Growth %,,-31.87%,-51.58%,-33.75%,55.02%,211.24%,16.04%,-49.34%,-0.67%,7.13%,-18.04%
EPS in Rs,38.19,30.99,15.92,7.90,13.89,42.09,50.08,28.53,30.99,28.78,18.13
Dividend Payout %,7.84%,9.67%,18.82%,25.29%,14.38%,18.98%,29.91%,52.49%,32.23%,156.15%,11.02%
