Metric,Mar 2016,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,501,774,162,388,1067,1396,1688,1648
  └─ Sales Growth %,,,-79.06%,139.11%,175.39%,30.85%,20.87%,-2.37%
Expenses,398,646,198,363,693,980,1134,999
  └─ Material Cost %,27.92%,24.31%,21.25%,20.97%,19.72%,20.39%,17.56%,15.28%
    └─ Raw material cost,141,188,34,82,210,288,297,252
    └─ Change in inventory,-1,0,1,-1,0,-3,-1,-0
  └─ Manufacturing Cost %,3.15%,5.35%,9.66%,6.91%,25.41%,27.36%,27.76%,0.00%
  └─ Employee Cost %,14.49%,16.41%,44.62%,22.94%,14.93%,16.46%,16.40%,15.55%
  └─ Other Cost %,33.89%,37.44%,46.67%,42.93%,4.90%,5.93%,5.45%,29.82%
Operating Profit,103,128,-36,24,374,417,554,649
OPM %,21%,16%,-22%,6%,35%,30%,33%,39%
Other Income,5,15,20,20,84,133,122,161
  └─ Exceptional items,0,5,10,5,7,21,1,0
  └─ Other income normal,5,10,11,15,77,112,121,161
Interest,10,2,5,5,48,52,46,64
Depreciation,22,21,22,17,83,111,126,150
Profit before tax,76,119,-43,22,327,387,504,595
Tax %,33%,29%,25%,68%,23%,23%,25%,24%
Net Profit,51,104,-60,13,251,298,380,452
  └─ Profit from Associates,0,24,-6,6,0,0,0,0
  └─ Minority share,-14,0,3,-0,-7,-10,-17,-11
  └─ Exceptional items AT,0,3,10,1,6,16,1,0
  └─ Profit excl Excep,51,101,-70,11,246,282,379,452
  └─ Profit for PE,37,101,-66,11,238,272,362,441
  └─ Profit for EPS,37,104,-57,12,244,288,363,441
  └─ Profit Growth %,,,-166%,117%,2027%,14%,33%,22%
EPS in Rs,103.51,268.84,-147.64,32.04,629.55,743.09,27.58,33.49
Dividend Payout %,0%,0%,0%,0%,0%,50%,31%,31%
