Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,10,28,47,78,109,137,163
  └─ Sales Growth %,,178.48%,66.86%,66.37%,38.73%,26.50%,18.37%
Expenses,9,16,27,45,62,89,114
  └─ Manufacturing Cost %,1.68%,0.18%,0.23%,0.69%,0.45%,0.37%,0.00%
  └─ Employee Cost %,55.28%,41.01%,43.64%,44.30%,42.33%,46.37%,49.43%
  └─ Other Cost %,31.00%,15.53%,12.98%,12.77%,14.41%,18.32%,20.86%
Operating Profit,1,12,20,33,47,48,48
OPM %,12%,43%,43%,42%,43%,35%,30%
Other Income,0,0,1,1,0,0,1
  └─ Other income normal,0.00,0.21,1.27,0.63,0.34,0.45,0.83
Interest,0,0,0,0,0,0,1
Depreciation,0,0,0,1,1,2,3
Profit before tax,1,12,21,33,46,46,45
Tax %,24%,25%,24%,25%,26%,25%,24%
Net Profit,1,9,16,25,34,34,34
  └─ Profit excl Excep,0.68,8.94,15.89,24.72,34.15,34.32,34.33
  └─ Profit for PE,0.68,8.94,15.89,24.72,34.15,34.32,34.33
  └─ Profit for EPS,0.68,8.94,15.89,24.72,34.15,34.32,34.33
  └─ Profit Growth %,,1214.71%,77.74%,55.57%,38.15%,0.50%,0.03%
EPS in Rs,,3.72,6.70,10.43,14.41,14.47,14.47
Dividend Payout %,0%,66%,43%,53%,68%,0%,76%
