Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,55,60,62,80,135,170,155,169,187
  └─ Sales Growth %,,9.17%,2.96%,29.18%,69.88%,26.15%,-9.30%,9.33%,10.79%
Expenses,49,55,56,68,110,135,134,151,189
  └─ Material Cost %,43%,44%,46%,47%,44%,46%,51%,50%,55%
    └─ Raw material cost,24,23,28,36,58,84,85,87,103
    └─ Change in inventory,0,4,0,1,2,-5,-7,-2,-1
  └─ Manufacturing Cost %,19%,23%,21%,16%,14%,15%,18%,18%,0%
  └─ Employee Cost %,11%,11%,11%,10%,7%,6%,8%,8%,11%
  └─ Other Cost %,16%,14%,14%,12%,15%,12%,10%,13%,35%
Operating Profit,6,5,5,11,26,35,20,18,-2
OPM %,10%,8%,9%,14%,19%,21%,13%,10%,-1%
Other Income,1,1,1,3,1,1,2,1,2
  └─ Exceptional items,0.00,-0.36,0.00,2.19,0.06,0.05,0.00,0.00,0.00
  └─ Other income normal,0.81,1.10,0.95,0.72,0.95,0.52,1.94,0.70,1.73
Interest,0,1,1,1,2,4,5,7,11
Depreciation,4,3,4,4,5,7,9,9,17
Profit before tax,2,2,1,9,19,25,8,3,-28
Tax %,34%,7%,38%,24%,28%,26%,31%,78%,-12%
Net Profit,1,2,1,7,14,18,6,1,-25
  └─ Minority share,0,0,0,0,0,0,0,0,8
  └─ Exceptional items AT,0,-0,0,2,0,0,0,0,0
  └─ Profit excl Excep,1,2,1,5,14,18,6,1,-25
  └─ Profit for PE,1,2,1,5,14,18,6,1,-17
  └─ Profit for EPS,1,2,1,7,14,18,6,1,-17
  └─ Profit Growth %,,93%,-60%,512%,164%,33%,-70%,-89%,-2853%
EPS in Rs,1.19,2.06,0.92,7.43,14.96,20.02,5.95,0.60,-16.44
Dividend Payout %,56%,32%,43%,9%,5%,5%,0%,0%,0%
