Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,1013,1324,1407,1235,1202,1405,1349,1636,1982,1845
  └─ Sales Growth %,,30.64%,6.32%,-12.27%,-2.67%,16.94%,-3.99%,21.23%,21.20%,-6.92%
Expenses,670,771,723,532,467,473,521,592,696,740
  └─ Manufacturing Cost %,1.33%,2.54%,2.36%,7.34%,5.06%,2.42%,2.83%,3.22%,3.40%,0.00%
  └─ Employee Cost %,19.51%,17.91%,19.78%,19.67%,20.10%,18.15%,20.64%,19.70%,18.50%,21.52%
  └─ Other Cost %,45.24%,37.82%,29.26%,16.08%,13.69%,13.10%,15.17%,13.28%,13.19%,18.60%
Operating Profit,344,552,684,703,735,932,828,1044,1287,1105
OPM %,34%,42%,49%,57%,61%,66%,61%,64%,65%,60%
Other Income,1,0,0,0,4,3,5,5,4,212
  └─ Exceptional items,0,-0,-0,-0,-0,-0,0,0,0,-3
  └─ Other income normal,1,0,0,0,4,3,4,5,4,214
Interest,0,5,6,6,6,5,4,6,6,5
Depreciation,8,26,32,37,37,36,34,35,40,46
Profit before tax,337,522,646,661,696,895,794,1008,1245,1266
Tax %,34%,33%,31%,25%,24%,25%,25%,23%,25%,23%
Net Profit,223,349,447,494,526,673,596,780,931,975
  └─ Exceptional items AT,0,-0,-0,-0,-0,-0,0,0,0,-2
  └─ Profit excl Excep,223,349,447,494,526,673,596,780,931,977
  └─ Profit for PE,223,349,447,494,526,673,596,780,931,977
  └─ Profit for EPS,223,349,447,494,526,673,596,780,931,975
  └─ Profit Growth %,,56%,28%,11%,6%,28%,-11%,31%,19%,5%
EPS in Rs,124.01,193.64,248.22,274.67,292.38,23.36,20.71,27.09,32.26,33.76
Dividend Payout %,22%,57%,67%,67%,27%,49%,50%,50%,74%,76%
