Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,352,307,329,428,466,513,631,760,904
  └─ Sales Growth %,,-12.76%,7.02%,30.03%,8.96%,10.12%,22.97%,20.43%,18.98%
Expenses,313,270,295,373,414,453,553,666,799
  └─ Material Cost %,67%,62%,64%,64%,65%,63%,63%,62%,62%
    └─ Raw material cost,235,188,224,271,308,341,387,493,550
    └─ Change in inventory,2,4,-13,4,-5,-15,10,-22,7
  └─ Manufacturing Cost %,4%,4%,4%,5%,4%,4%,4%,4%,0%
  └─ Employee Cost %,13%,14%,13%,14%,14%,14%,14%,16%,17%
  └─ Other Cost %,5%,7%,8%,5%,6%,7%,7%,5%,10%
Operating Profit,39,38,34,55,52,60,78,94,105
OPM %,11%,12%,10%,13%,11%,12%,12%,12%,12%
Other Income,4,54,2,-19,7,10,13,18,18
  └─ Exceptional items,0.01,49.58,-0.01,-21.61,0.01,0.88,0.01,0.01,0.00
  └─ Other income normal,4.32,4.22,2.49,3.08,6.70,9.09,13.46,18.01,17.80
Interest,6,5,3,1,1,1,1,4,5
Depreciation,17,11,9,13,12,12,13,28,31
Profit before tax,20,76,25,22,46,57,77,80,87
Tax %,44%,16%,34%,28%,16%,25%,25%,24%,24%
Net Profit,11,64,16,16,38,43,58,61,66
  └─ Minority share,0,0,0,0,0,0,0,0,0
  └─ Exceptional items AT,0,42,-0,-15,0,1,0,0,0
  └─ Profit excl Excep,11,22,16,31,38,42,58,61,66
  └─ Profit for PE,11,22,16,31,38,42,58,61,66
  └─ Profit for EPS,11,64,16,16,38,43,58,61,66
  └─ Profit Growth %,,99%,-27%,93%,22%,10%,39%,5%,9%
EPS in Rs,20.04,99.55,25.28,24.69,17.48,20.04,27.98,29.10,31.49
Dividend Payout %,0%,0%,0%,0%,20%,20%,20%,20%,20%
