Metric,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,142,286,327,560,924,1107
  └─ Sales Growth %,,101.34%,14.18%,71.40%,64.97%,19.89%
Expenses,130,249,277,441,673,808
  └─ Material Cost %,78%,77%,69%,67%,65%,64%
    └─ Raw material cost,120,231,230,428,608,758
    └─ Change in inventory,-9,-10,-4,-51,-5,-49
  └─ Manufacturing Cost %,1%,0%,0%,1%,0%,0%
  └─ Employee Cost %,2%,2%,2%,2%,3%,3%
  └─ Other Cost %,10%,8%,12%,9%,5%,6%
Operating Profit,12,37,50,119,251,300
OPM %,9%,13%,15%,21%,27%,27%
Other Income,5,8,13,10,17,33
  └─ Exceptional items,0.00,-0.21,-0.04,0.00,0.00,0.00
  └─ Other income normal,5.25,8.53,12.65,10.23,17.14,32.92
Interest,7,5,11,14,11,16
Depreciation,1,1,1,2,3,10
Profit before tax,10,39,51,114,254,306
Tax %,22%,24%,23%,18%,20%,15%
Net Profit,8,30,39,93,204,259
  └─ Exceptional items AT,0,-0,-0,0,0,0
  └─ Profit excl Excep,8,30,39,93,204,259
  └─ Profit for PE,8,30,39,93,204,259
  └─ Profit for EPS,8,30,39,93,204,259
  └─ Profit Growth %,,294%,30%,140%,118%,27%
EPS in Rs,1.11,3.63,4.67,9.11,18.63,21.33
Dividend Payout %,0%,3%,0%,2%,1%,0%
