Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,504,463,501,495,493,734,710,646,735,1427
  └─ Sales Growth %,,-8%,8%,-1%,-0%,49%,-3%,-9%,14%,94%
Expenses,434,380,418,428,425,638,627,581,688,1280
  └─ Material Cost %,52%,46%,49%,50%,51%,56%,55%,51%,54%,58%
    └─ Raw material cost,253,217,239,262,279,407,392,324,448,982
    └─ Change in inventory,12,-5,6,-16,-27,2,-2,3,-53,-149
  └─ Manufacturing Cost %,11%,13%,13%,13%,12%,11%,12%,16%,14%,0%
  └─ Employee Cost %,17%,18%,17%,18%,18%,15%,16%,19%,18%,11%
  └─ Other Cost %,6%,5%,5%,5%,6%,5%,5%,5%,9%,20%
Operating Profit,70,84,84,67,68,96,84,65,47,147
OPM %,14%,18%,17%,13%,14%,13%,12%,10%,6%,10%
Other Income,18,16,17,-4,28,48,25,14,26,18
  └─ Exceptional items,2.30,0.32,1.92,-12.50,3.86,11.39,-0.49,0.11,-0.07,0.00
  └─ Other income normal,15.41,15.43,15.15,8.61,23.72,37.06,25.91,13.65,26.02,18.10
Interest,4,1,1,3,2,1,2,3,24,72
Depreciation,31,32,31,31,33,34,36,38,50,61
Profit before tax,52,66,69,29,61,109,71,38,-1,33
Tax %,33%,36%,34%,32%,33%,40%,24%,36%,1003%,44%
Net Profit,35,42,45,20,41,65,54,24,-13,18
  └─ Exceptional items AT,2,0,1,-9,3,7,-0,0,1,0
  └─ Profit excl Excep,33,42,44,28,39,58,55,24,-14,18
  └─ Profit for PE,33,42,44,28,39,58,55,24,-14,18
  └─ Profit for EPS,35,42,45,20,41,65,54,24,-13,18
  └─ Profit Growth %,,26%,4%,-36%,37%,51%,-6%,-56%,-159%,226%
EPS in Rs,,,41.24,17.95,37.85,59.89,49.70,22.25,-12.20,16.58
Dividend Payout %,4%,5%,12%,42%,33%,29%,141%,90%,-164%,121%
