Metric,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales,54.16,50.27,43.80,50.90,25.71,20.75,17.68,18.99,22.33,20.28,19.34,30.02,27.65
  └─ Sales Growth %,20%,-7%,-13%,16%,-49%,-19%,-15%,7%,18%,-9%,-5%,55%,
Expenses,47.95,47.42,47.72,53.35,30.85,25.65,20.65,22.27,24.44,21.51,20.52,29.23,27.07
  └─ Material Cost %,61%,68%,75%,75%,79%,81%,81%,87%,82%,81%,83%,81%,
    └─ Raw material cost,40.20,27.91,33.96,36.53,22.66,14.31,14.30,15.53,18.05,16.53,15.82,24.26,
    └─ Change in inventory,-6.94,6.14,-1.12,1.73,-2.44,2.55,-0.03,0.90,0.33,-0.09,0.16,-0.03,
  └─ Manufacturing Cost %,13%,12%,11%,10%,12%,9%,9%,7%,8%,5%,4%,4%,
  └─ Employee Cost %,8%,9%,9%,6%,12%,16%,14%,14%,13%,13%,14%,10%,
  └─ Other Cost %,6%,6%,14%,13%,17%,17%,13%,9%,7%,7%,6%,3%,
Operating Profit,6.21,2.85,-3.92,-2.45,-5.14,-4.90,-2.97,-3.28,-2.11,-1.23,-1.18,0.79,0.58
OPM %,11.47%,5.67%,-8.95%,-4.81%,-19.99%,-23.61%,-16.80%,-17.27%,-9.45%,-6.07%,-6.10%,2.63%,2.10%
Other Income,0.67,0.70,0.57,1.05,1.10,2.09,5.26,2.26,33.76,3.58,6.83,1.42,1.44
  └─ Exceptional items,0.01,0.00,0.01,0.52,0.55,1.56,4.73,2.01,33.26,2.33,5.59,0.03,
  └─ Other income normal,0.66,0.70,0.56,0.53,0.55,0.53,0.53,0.25,0.50,1.25,1.24,1.39,
Interest,0.95,1.54,0.37,0.52,1.02,0.96,0.27,0.11,0.13,0.00,0.00,0.01,0.01
Depreciation,0.53,0.63,0.57,0.55,0.88,0.79,0.66,0.23,0.23,0.25,0.18,0.22,0.23
Profit before tax,5.40,1.38,-4.29,-2.47,-5.94,-4.56,1.36,-1.36,31.29,2.10,5.47,1.98,1.78
Tax %,33.15%,35.51%,0.47%,-11.74%,0.00%,9.43%,27.21%,-65.44%,21.54%,2.86%,0.18%,51.01%,
Net Profit,3.61,0.89,-4.31,-2.17,-5.95,-4.98,0.98,-0.47,24.54,2.04,5.46,0.98,0.78
  └─ Exceptional items AT,0,0,0,1,1,2,4,2,26,2,5,0,
  └─ Profit excl Excep,4,1,-4,-3,-6,-7,-3,-2,-2,-0,0,1,
  └─ Profit for PE,4,1,-4,-3,-6,-7,-3,-2,-2,-0,0,1,
  └─ Profit for EPS,4,1,-4,-2,-6,-5,1,-0,25,2,5,1,
  └─ Profit Growth %,555%,-75%,-585%,38%,-142%,-1%,49%,27%,33%,88%,216%,341%,
EPS in Rs,6.98,1.72,-8.34,-3.84,-9.97,-8.34,1.64,-0.79,41.11,3.42,9.15,1.64,1.31
Dividend Payout %,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,
