Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Sales,62.63,66.46,57.75,75.11
  └─ Sales Growth %,,6.12%,-13.11%,30.06%
Expenses,60.24,64.17,55.82,70.98
  └─ Material Cost %,72%,71%,83%,84%
    └─ Raw material cost,48,51,49,66
    └─ Change in inventory,-3,-3,-1,-3
  └─ Manufacturing Cost %,0%,0%,0%,0%
  └─ Employee Cost %,6%,6%,7%,6%
  └─ Other Cost %,18%,19%,6%,5%
Operating Profit,2.39,2.29,1.93,4.13
OPM %,3.82%,3.45%,3.34%,5.50%
Other Income,0.48,0.20,0.21,0.25
  └─ Exceptional items,0.13,0.06,0.01,-0.02
  └─ Other income normal,0.35,0.14,0.20,0.27
Interest,0.02,0.09,0.06,0.07
Depreciation,0.13,0.16,0.16,0.18
Profit before tax,2.72,2.24,1.92,4.13
Tax %,30.51%,23.66%,29.69%,28.09%
Net Profit,1.88,1.71,1.35,2.97
  └─ Minority share,-0,-0,0,0
  └─ Exceptional items AT,0,0,0,-0
  └─ Profit excl Excep,2,2,1,3
  └─ Profit for PE,2,2,1,3
  └─ Profit for EPS,2,2,1,3
  └─ Profit Growth %,,-7%,-18%,123%
EPS in Rs,1.69,1.54,1.23,2.70
Dividend Payout %,121.53%,0.00%,0.00%,0.00%
