Metric,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,162,366,662,1618
  └─ Sales Growth %,,126%,81%,144%
Expenses,150,337,589,1434
  └─ Material Cost %,82%,-2%,-1%,81%
    └─ Raw material cost,142,0,0,1387
    └─ Change in inventory,-10,-8,-4,-83
  └─ Manufacturing Cost %,0%,87%,82%,0%
  └─ Employee Cost %,4%,4%,3%,3%
  └─ Other Cost %,7%,3%,4%,5%
Operating Profit,11,28,73,184
OPM %,7%,8%,11%,11%
Other Income,3,2,4,3
  └─ Exceptional items,0.00,0.00,0.00,0.39
  └─ Other income normal,2.68,2.09,3.60,3.07
Interest,6,10,11,31
Depreciation,5,8,9,25
Profit before tax,4,12,57,131
Tax %,30%,24%,25%,25%
Net Profit,3,9,43,98
  └─ Minority share,0,0,-1,-2
  └─ Exceptional items AT,0,0,0,0
  └─ Profit excl Excep,3,9,43,98
  └─ Profit for PE,3,9,42,96
  └─ Profit for EPS,3,9,42,96
  └─ Profit Growth %,,222%,381%,128%
EPS in Rs,2.71,8.73,38.91,88.88
Dividend Payout %,0%,5%,1%,0%
