Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,2187,2413,2550,2711,2956,2808,2781,3705,4382,4474,4635,4830
  └─ Sales Growth %,19.09%,10.36%,5.64%,6.31%,9.06%,-5.01%,-0.97%,33.24%,18.26%,2.10%,3.60%,4.21%
Expenses,1831,1950,2049,2253,2501,2391,2266,3093,3789,3768,4000,3965
  └─ Material Cost %,33.63%,30.66%,31.61%,34.06%,34.09%,35.26%,41.17%,37.77%,37.10%,38.95%,38.67%,42.80%
    └─ Raw material cost,827,806,793,936,1044,1075,1012,1474,1717,1722,1886,1997
    └─ Change in inventory,-92,-66,13,-13,-37,-84,133,-74,-92,21,-93,70
  └─ Manufacturing Cost %,31.21%,29.40%,26.39%,26.95%,29.58%,28.13%,22.09%,28.09%,31.75%,26.69%,27.66%,18.39%
  └─ Employee Cost %,9.48%,10.45%,11.32%,11.72%,11.69%,12.71%,11.67%,11.00%,10.53%,10.99%,12.21%,10.97%
  └─ Other Cost %,9.43%,10.30%,11.05%,10.40%,9.25%,9.05%,6.55%,6.63%,7.09%,7.60%,7.74%,9.93%
Operating Profit,355,463,500,457,455,417,515,612,593,706,636,865
OPM %,16%,19%,20%,17%,15%,15%,19%,17%,14%,16%,14%,18%
Other Income,0,5,11,11,8,23,15,26,25,35,-14,7
  └─ Exceptional items,-7,-6,-4,-0,-10,-0,-6,-1,-9,-4,-58,-47
  └─ Other income normal,7,10,15,11,18,23,21,27,33,38,44,54
Interest,29,34,34,24,16,20,11,13,22,17,20,23
Depreciation,56,73,81,89,89,108,107,115,133,148,165,169
Profit before tax,270,361,396,355,358,312,413,510,462,576,436,680
Tax %,32%,35%,36%,36%,36%,19%,25%,25%,25%,25%,31%,28%
Net Profit,185,236,254,229,229,254,309,383,346,432,300,487
  └─ Minority share,-9,-5,-1,6,-2,2,-1,-6,-2,-10,-6,-2
  └─ Exceptional items AT,-5,-4,-2,-0,-7,-0,-4,-1,-6,6,-6,-35
  └─ Profit excl Excep,190,240,256,229,235,254,313,384,353,426,306,522
  └─ Profit for PE,180,235,255,235,233,255,312,378,351,416,301,520
  └─ Profit for EPS,176,231,253,235,227,255,308,377,344,422,294,485
  └─ Profit Growth %,44%,30%,9%,-8%,-1%,10%,22%,21%,-7%,19%,-28%,73%
EPS in Rs,11.05,14.56,15.91,14.78,14.25,16.06,19.36,23.68,21.64,26.50,18.48,30.48
Dividend Payout %,18%,17%,19%,20%,21%,19%,52%,46%,42%,45%,49%,46%
