Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,160,188,239,240,341,520,617,717,1007,1339
  └─ Sales Growth %,,17.23%,26.95%,0.46%,42.15%,52.71%,18.57%,16.33%,40.34%,33.02%
Expenses,137,157,196,198,260,415,493,589,775,859
  └─ Material Cost %,59.27%,60.12%,62.19%,53.82%,52.75%,52.45%,53.65%,57.38%,54.84%,42.26%
    └─ Raw material cost,95,115,152,138,175,282,346,440,570,595
    └─ Change in inventory,0,-2,-4,-9,5,-10,-15,-28,-18,-29
  └─ Manufacturing Cost %,10.25%,11.25%,8.88%,16.31%,13.48%,13.64%,11.19%,10.16%,8.13%,0.00%
  └─ Employee Cost %,4.61%,5.26%,4.95%,7.46%,6.20%,8.01%,8.02%,8.88%,8.37%,8.78%
  └─ Other Cost %,11.44%,7.12%,6.34%,4.97%,3.94%,5.68%,7.14%,5.67%,5.62%,13.10%
Operating Profit,23,31,42,42,80,105,123,128,232,480
OPM %,14%,16%,18%,17%,24%,20%,20%,18%,23%,36%
Other Income,0,3,0,2,1,3,4,-25,17,42
  └─ Exceptional items,0.00,0.00,0.00,-0.77,-0.18,0.00,-0.75,-31.88,0.01,0.00
  └─ Other income normal,0.21,2.96,0.38,2.84,1.22,2.76,4.32,7.28,16.92,41.59
Interest,3,3,5,6,6,6,2,6,6,3
Depreciation,1,2,3,4,4,10,12,16,27,36
Profit before tax,19,28,35,35,72,91,112,82,216,483
Tax %,35%,35%,34%,21%,25%,21%,26%,41%,26%,26%
Net Profit,12,18,23,27,54,72,83,49,160,356
  └─ Minority share,0,0,0,0,0,0,0,-6,-2,-0
  └─ Exceptional items AT,0,0,0,-1,-0,0,-1,-19,0,0
  └─ Profit excl Excep,12,18,23,28,54,72,84,68,160,356
  └─ Profit for PE,12,18,23,28,54,72,84,59,159,356
  └─ Profit for EPS,12,18,23,27,54,72,83,43,159,356
  └─ Profit Growth %,,54%,26%,21%,93%,33%,17%,-29%,167%,124%
EPS in Rs,40.17,61.67,11.10,13.08,8.57,9.87,11.43,5.80,19.38,43.51
Dividend Payout %,0%,0%,0%,0%,0%,15%,13%,26%,8%,6%
