Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,153,166,199,197,178,185,233,283,298,325,375
  └─ Sales Growth %,,8.49%,19.87%,-1.29%,-9.44%,3.67%,26.03%,21.51%,5.30%,9.20%,15.36%
Expenses,123,129,165,173,160,158,199,242,246,266,320
  └─ Material Cost %,31.40%,33.93%,38.29%,42.39%,39.30%,39.53%,44.04%,45.97%,42.96%,42.70%,47.62%
    └─ Raw material cost,48,57,77,84,71,71,103,129,127,139,187
    └─ Change in inventory,-0,-1,-1,-1,-1,2,-1,1,1,-0,-9
  └─ Manufacturing Cost %,13.42%,14.09%,14.03%,15.07%,16.25%,15.55%,14.90%,14.98%,15.82%,15.49%,0.00%
  └─ Employee Cost %,14.51%,14.56%,14.17%,16.24%,18.84%,17.66%,15.50%,13.72%,13.13%,12.90%,12.48%
  └─ Other Cost %,20.85%,15.07%,16.20%,14.29%,15.50%,12.96%,11.28%,10.86%,10.62%,10.81%,25.11%
Operating Profit,30,37,34,24,18,26,33,41,52,59,55
OPM %,20%,22%,17%,12%,10%,14%,14%,14%,17%,18%,15%
Other Income,-2,1,0,2,0,6,0,1,0,-4,-2
  └─ Exceptional items,-0.15,0.58,-0.06,-0.06,0.16,5.99,-0.07,0.29,-0.66,-7.47,-2.91
  └─ Other income normal,-1.56,0.51,0.45,2.17,0.33,0.19,0.21,0.26,0.87,3.77,0.41
Interest,0,0,0,0,0,0,0,0,0,0,0
Depreciation,7,8,9,9,10,9,9,9,10,10,12
Profit before tax,22,30,26,17,9,24,25,33,43,45,41
Tax %,15%,23%,11%,-5%,-20%,16%,13%,16%,19%,22%,24%
Net Profit,19,23,23,18,10,20,22,27,34,35,31
  └─ Exceptional items AT,-0.12,0.44,-0.05,-0.05,0.14,5.02,-0.06,0.24,-0.52,-5.85,-1.92
  └─ Profit excl Excep,18.79,22.77,23.06,17.60,10.33,14.70,21.66,27.23,34.93,40.85,33.03
  └─ Profit for PE,18.79,22.77,23.06,17.60,10.33,14.70,21.66,27.23,34.93,40.85,33.03
  └─ Profit for EPS,18.67,23.21,23.01,17.55,10.47,19.72,21.60,27.47,34.41,35.00,31.11
  └─ Profit Growth %,,21.18%,1.27%,-23.68%,-41.31%,42.30%,47.35%,25.72%,28.28%,16.95%,-19.14%
EPS in Rs,12.61,15.68,15.58,11.88,7.09,13.35,14.63,18.60,23.30,23.70,21.06
Dividend Payout %,3%,1%,3%,17%,28%,15%,14%,11%,9%,8%,24%
