Metric,Mar 2007,Mar 2008,Mar 2009,Mar 2010
Sales,176,189,211,249
  └─ Sales Growth %,,7.27%,11.77%,17.96%
Expenses,160,163,182,216
  └─ Material Cost %,68%,66%,66%,68%
    └─ Raw material cost,126,129,145,165
    └─ Change in inventory,-6,-5,-5,3
  └─ Manufacturing Cost %,10%,9%,9%,8%
  └─ Employee Cost %,6%,7%,7%,7%
  └─ Other Cost %,7%,5%,5%,4%
Operating Profit,15,25,28,33
OPM %,9%,13%,13%,13%
Other Income,1,4,1,1
  └─ Exceptional items,0.00,-0.08,0.00,-0.03
  └─ Other income normal,0.89,3.77,1.24,1.52
Interest,5,8,15,13
Depreciation,6,9,11,12
Profit before tax,5,12,4,9
Tax %,40%,48%,91%,28%
Net Profit,3,6,0,6
  └─ Exceptional items AT,0,-0,0,-0
  └─ Profit excl Excep,3,6,0,6
  └─ Profit for PE,3,6,0,6
  └─ Profit for EPS,3,6,0,6
  └─ Profit Growth %,,84%,-94%,1664%
EPS in Rs,6.90,12.61,0.76,13.38
Dividend Payout %,15%,12%,0%,0%
