Metric,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,1421,1460,1492,1553,1518,1211,1519,1754,1511,1333,1589,2044,2063
  └─ Sales Growth %,17.77%,2.73%,2.21%,4.06%,-2.23%,-20.21%,25.41%,15.45%,-13.88%,-11.76%,19.19%,28.65%,
Expenses,1246,1295,1313,1337,1324,1063,1306,1532,1374,1230,1461,1857,1879
  └─ Material Cost %,70%,70%,69%,67%,66%,65%,64%,66%,67%,69%,70%,71%,
    └─ Raw material cost,995,1031,1035,1036,1001,792,975,1155,1012,924,1114,1451,
    └─ Change in inventory,5,-7,-9,-2,-2,-5,2,1,3,-7,-7,-5,
  └─ Manufacturing Cost %,4%,5%,5%,5%,5%,5%,6%,5%,5%,5%,6%,5%,
  └─ Employee Cost %,8%,9%,9%,9%,11%,12%,12%,11%,14%,15%,13%,11%,
  └─ Other Cost %,5%,5%,6%,5%,5%,5%,4%,5%,4%,4%,4%,4%,
Operating Profit,175,165,179,216,194,148,213,222,137,103,127,187,183
OPM %,12%,11%,12%,14%,13%,12%,14%,13%,9%,8%,8%,9%,9%
Other Income,3,9,39,5,16,12,9,12,9,5,3,5,17
  └─ Exceptional items,-0.34,-0.01,35.07,0.00,9.87,-2.44,0.74,0.21,-0.12,0.20,-6.47,-2.27,
  └─ Other income normal,3.08,9.35,4.27,4.87,5.84,14.39,8.23,11.43,8.77,5.26,9.92,7.57,
Interest,46,41,39,31,32,25,21,16,10,5,4,5,5
Depreciation,46,58,68,104,99,79,96,96,93,83,71,73,77
Profit before tax,86,74,111,86,79,56,104,122,43,21,56,114,118
Tax %,30%,35%,22%,31%,32%,28%,34%,36%,18%,33%,27%,24%,
Net Profit,60,48,86,58,54,40,68,78,35,14,41,87,90
  └─ Profit from Associates,0,0,-1,-1,-0,0,0,0,0,0,0,0,
  └─ Minority share,-12,-10,-18,-20,-17,-3,-5,-6,-5,-2,-4,-6,
  └─ Exceptional items AT,-0,-0,25,0,6,-2,0,0,-0,0,-4,-2,
  └─ Profit excl Excep,60,48,60,58,48,42,68,78,35,14,45,89,
  └─ Profit for PE,49,38,48,38,33,38,63,73,30,12,41,83,
  └─ Profit for EPS,49,38,68,38,37,37,64,73,30,12,37,81,
  └─ Profit Growth %,18%,-22%,25%,-20%,-13%,16%,65%,15%,-58%,-62%,248%,104%,
EPS in Rs,2.25,1.76,3.13,1.75,1.71,1.71,2.94,2.73,1.13,0.44,1.38,3.05,3.13
Dividend Payout %,27%,34%,23%,34%,27%,27%,16%,27%,28%,31%,26%,15%,
