Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,1857.71,1950.08,1718.03,1982.53,1744.70,1550.05,40.16,272.21,65.95
  └─ Sales Growth %,,5%,-12%,15%,-12%,-11%,-97%,578%,
Expenses,1794.01,1856.67,1620.77,1876.97,1669.16,1486.63,40.59,277.13,74.20
  └─ Material Cost %,89%,89%,87%,87%,87%,87%,64%,96%,
    └─ Raw material cost,1614,1726,1502,1727,1509,1338,27,263,
    └─ Change in inventory,42,5,-1,-9,0,6,-2,-2,
  └─ Manufacturing Cost %,2%,1%,2%,2%,2%,2%,19%,3%,
  └─ Employee Cost %,1%,1%,2%,2%,2%,2%,10%,1%,
  └─ Other Cost %,4%,4%,4%,4%,4%,5%,8%,2%,
Operating Profit,63.70,93.41,97.26,105.56,75.54,63.42,-0.43,-4.92,-8.25
OPM %,3.43%,4.79%,5.66%,5.32%,4.33%,4.09%,-1.07%,-1.81%,-12.51%
Other Income,18.87,10.82,8.13,12.08,11.84,16.63,6.31,14.98,17.06
  └─ Exceptional items,4.88,1.14,-0.11,-0.21,-0.89,-0.14,0.00,0.01,
  └─ Other income normal,13.99,9.68,8.24,12.29,12.73,16.77,6.31,14.97,
Interest,51.05,53.99,55.27,59.94,45.42,35.64,0.34,5.59,5.27
Depreciation,14.49,13.15,17.33,16.67,12.22,12.47,2.95,2.46,3.06
Profit before tax,17.03,37.09,32.79,41.03,29.74,31.94,2.59,2.01,0.48
Tax %,33.06%,29.77%,38.21%,36.58%,-1.65%,25.36%,-93.44%,25.37%,
Net Profit,11.39,26.06,20.27,26.01,30.22,23.84,5.02,1.51,0.20
  └─ Minority share,0,0,0,0,0,0,0,0,
  └─ Exceptional items AT,3,1,-0,-0,-1,-0,0,0,
  └─ Profit excl Excep,8,25,20,26,31,24,5,2,
  └─ Profit for PE,8,25,21,26,31,24,5,2,
  └─ Profit for EPS,11,26,20,26,30,24,5,2,
  └─ Profit Growth %,,211%,-19%,28%,18%,-23%,-79%,-70%,
EPS in Rs,1.21,2.77,2.17,2.77,3.21,2.53,0.53,0.16,0.02
Dividend Payout %,0.00%,0.00%,11.04%,8.67%,3.73%,7.89%,0.00%,0.00%,
